date	temp	model	suominet	aeronet
2020-09-28	-19.400	10.050	 8.300	 7.100
2020-09-29	-22.030	 9.140	 7.300	 5.900
2020-09-30	-21.670	 9.260	 4.800	 3.800
2020-10-01	-19.830	 9.890	 5.100	 7.500
2020-10-02	-22.570	 8.970	 6.300	 5.700
2020-10-03	-21.030	 9.470	 5.900	 4.900
2020-10-04	-15.000	11.770	 6.200	 7.300
2020-10-05	-16.650	11.090	 5.300	 4.200
2020-10-06	-15.650	11.500	 4.500	 3.900
2020-10-07	-18.000	10.570	 5.100	 4.400
2020-10-08	-16.550	11.130	 5.400	 4.900
2020-10-09	-15.000	11.770	 7.500	 6.700
2020-10-10	-17.000	10.950	 6.500	 5.000
2020-10-11	-22.570	 8.970	 7.300	 5.600
2020-10-12	-18.000	10.570	 7.500	 5.000
2020-10-13	-20.600	 9.620	 5.600	 4.000
2020-10-14	-15.750	11.460	 6.000	 3.800
2020-10-15	-14.700	11.900	 6.200	 6.800
2020-10-16	-16.350	11.210	 5.800	 6.500
2020-10-17	-15.950	11.380	 6.700	 5.300
2020-10-18	-17.350	10.820	 5.500	   NaN
2020-10-19	-18.600	10.340	 5.500	 5.000
2020-10-20	-21.550	 9.300	 4.900	   NaN
2020-10-21	-26.100	 7.890	 4.400	 4.200
2020-10-22	-21.950	 9.170	 7.100	 7.600
2020-10-23	-17.900	10.610	 8.600	 8.400
2020-10-28	-21.670	 9.260	 8.100	 7.700
2020-10-29	-23.850	 8.560	 9.000	 7.600
2020-10-30	-27.050	 7.630	 5.600	 6.200
2020-10-31	-25.700	 8.010	 6.900	 6.800
2020-11-01	-15.900	11.400	 6.700	 8.100
2020-11-02	-33.500	 6.050	 6.700	 7.000
2020-11-03	-24.400	 8.390	 5.800	 6.300
2020-11-04	-25.600	 8.040	10.500	 9.200
2020-11-05	-30.000	 6.860	 6.900	 6.600
2020-11-06	-24.400	 8.390	 6.300	 5.700
2020-11-09	-23.000	 8.830	 3.600	 5.500
2020-11-10	-25.300	 8.130	 3.400	 3.100
2020-11-13	-23.300	 8.730	 6.400	   NaN
2020-11-14	-28.350	 7.280	   NaN	 4.900
2020-11-15	-23.350	 8.720	   NaN	 4.700
2020-11-16	-25.100	 8.180	 4.000	 4.800
2020-11-17	-23.950	 8.530	 4.400	 5.600
2020-11-18	-25.350	 8.110	 8.300	10.500
2020-11-19	-25.500	 8.070	 9.300	 9.100
2020-11-20	-25.150	 8.170	 8.500	 8.900
2020-11-22	-34.000	 5.940	 9.300	   NaN
2020-11-23	-31.900	 6.410	 8.600	   NaN
2020-11-24	-24.800	 8.270	 4.900	 5.300
2020-11-25	-35.500	 5.630	 4.400	 3.800
2020-11-28	-22.500	 8.990	 5.200	 6.100
2020-11-29	-23.600	 8.640	 2.700	 3.400
2020-11-30	-24.550	 8.350	 2.400	 3.200
2020-12-01	-25.650	 8.020	 3.800	 3.200
2020-12-03	-44.000	 4.140	 3.800	 3.600
2020-12-04	-38.800	 5.000	 3.800	 4.500
2020-12-05	-39.500	 4.870	 5.700	 4.700
2020-12-06	-44.200	 4.110	 4.400	 2.900
2020-12-07	-41.000	 4.620	 3.400	 3.200
2020-12-08	-39.500	 4.870	 3.700	 2.800
2020-12-09	-43.900	 4.160	 3.700	 2.700
2020-12-14	-41.600	 4.520	 2.200	 3.900
2020-12-18	-38.800	 5.000	 4.100	 4.900
2020-12-19	-38.800	 5.000	 4.400	 4.200
2020-12-20	-36.600	 5.410	 3.900	 3.300
2020-12-21	-34.100	 5.920	 3.600	 4.900
2020-12-22	-36.900	 5.350	 3.500	 3.100
2020-12-23	-44.600	 4.060	 3.100	 1.900
2020-12-25	-41.100	 4.600	 3.500	 3.100
2020-12-26	-37.600	 5.220	 4.000	 3.800
2020-12-27	-39.300	 4.910	 6.400	 5.800
2020-12-28	-32.200	 6.340	 4.600	 7.800
2020-12-30	-48.300	 3.550	 2.800	 3.200
