*****,MODTRAN3 Version 1.3,12/1/95,***** (Water Vapor == 0.319)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
168.,59.524,4.29E-06,1.21E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.29E-06,1.21E-05,2.75E-04,0.00000
170.,58.824,4.37E-06,1.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.37E-06,1.26E-05,2.84E-04,0.00000
172.,58.140,4.45E-06,1.32E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.45E-06,1.32E-05,2.93E-04,0.00000
174.,57.471,4.52E-06,1.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.52E-06,1.37E-05,3.02E-04,0.00000
176.,56.818,4.60E-06,1.43E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.60E-06,1.43E-05,3.11E-04,0.00000
178.,56.180,4.68E-06,1.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.68E-06,1.48E-05,3.21E-04,0.00000
180.,55.556,4.76E-06,1.54E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.76E-06,1.54E-05,3.30E-04,0.00000
182.,54.945,4.84E-06,1.60E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.84E-06,1.60E-05,3.40E-04,0.00000
184.,54.348,4.92E-06,1.66E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.92E-06,1.66E-05,3.50E-04,0.00000
186.,53.763,4.99E-06,1.73E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.99E-06,1.73E-05,3.60E-04,0.00000
188.,53.191,5.07E-06,1.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.07E-06,1.79E-05,3.70E-04,0.00000
190.,52.632,5.15E-06,1.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-06,1.86E-05,3.80E-04,0.00000
192.,52.083,5.23E-06,1.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.23E-06,1.93E-05,3.90E-04,0.00000
194.,51.546,5.31E-06,2.00E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.31E-06,2.00E-05,4.01E-04,0.00000
196.,51.020,5.39E-06,2.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.39E-06,2.07E-05,4.12E-04,0.00000
198.,50.505,5.47E-06,2.14E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.47E-06,2.14E-05,4.23E-04,0.00000
200.,50.000,5.55E-06,2.22E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.55E-06,2.22E-05,4.34E-04,0.00000
202.,49.505,5.62E-06,2.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.62E-06,2.29E-05,4.45E-04,0.00000
204.,49.020,5.70E-06,2.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.70E-06,2.37E-05,4.57E-04,0.00000
206.,48.544,5.78E-06,2.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.78E-06,2.45E-05,4.68E-04,0.00000
208.,48.077,5.86E-06,2.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.86E-06,2.53E-05,4.80E-04,0.00000
210.,47.619,5.94E-06,2.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.94E-06,2.62E-05,4.92E-04,0.00000
212.,47.170,6.02E-06,2.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.02E-06,2.70E-05,5.04E-04,0.00000
214.,46.729,6.09E-06,2.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.09E-06,2.79E-05,5.16E-04,0.00000
216.,46.296,6.17E-06,2.88E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.17E-06,2.88E-05,5.28E-04,0.00000
218.,45.872,6.25E-06,2.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.25E-06,2.97E-05,5.41E-04,0.00000
220.,45.455,6.33E-06,3.06E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.33E-06,3.06E-05,5.53E-04,0.00000
222.,45.045,6.41E-06,3.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.41E-06,3.16E-05,5.66E-04,0.00000
224.,44.643,6.48E-06,3.25E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.48E-06,3.25E-05,5.79E-04,0.00000
226.,44.248,6.56E-06,3.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.56E-06,3.35E-05,5.92E-04,0.00000
228.,43.860,6.64E-06,3.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.64E-06,3.45E-05,6.06E-04,0.00000
230.,43.478,6.71E-06,3.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.71E-06,3.55E-05,6.19E-04,0.00000
232.,43.103,6.79E-06,3.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.79E-06,3.65E-05,6.33E-04,0.00000
234.,42.735,6.86E-06,3.76E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.86E-06,3.76E-05,6.46E-04,0.00000
236.,42.373,6.94E-06,3.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-06,3.86E-05,6.60E-04,0.00000
238.,42.017,7.01E-06,3.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.01E-06,3.97E-05,6.74E-04,0.00000
240.,41.667,7.09E-06,4.08E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.09E-06,4.08E-05,6.88E-04,0.00000
242.,41.322,7.17E-06,4.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.17E-06,4.20E-05,7.03E-04,0.00000
244.,40.984,7.25E-06,4.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.25E-06,4.31E-05,7.17E-04,0.00000
246.,40.650,7.32E-06,4.43E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.32E-06,4.43E-05,7.32E-04,0.00000
248.,40.323,7.40E-06,4.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.40E-06,4.55E-05,7.47E-04,0.00000
250.,40.000,7.47E-06,4.67E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.47E-06,4.67E-05,7.62E-04,0.00000
252.,39.683,7.55E-06,4.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.55E-06,4.79E-05,7.77E-04,0.00000
254.,39.370,7.62E-06,4.92E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.62E-06,4.92E-05,7.92E-04,0.00000
256.,39.063,7.69E-06,5.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.69E-06,5.04E-05,8.07E-04,0.00000
258.,38.760,7.76E-06,5.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.76E-06,5.17E-05,8.23E-04,0.00000
260.,38.462,7.83E-06,5.30E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.83E-06,5.30E-05,8.39E-04,0.00000
262.,38.168,7.91E-06,5.43E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.91E-06,5.43E-05,8.54E-04,0.00000
264.,37.879,7.98E-06,5.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.98E-06,5.56E-05,8.70E-04,0.00000
266.,37.594,8.06E-06,5.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.06E-06,5.70E-05,8.86E-04,0.00000
268.,37.313,8.13E-06,5.84E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.13E-06,5.84E-05,9.03E-04,0.00000
270.,37.037,8.19E-06,5.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.19E-06,5.97E-05,9.19E-04,0.00000
272.,36.765,8.27E-06,6.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.27E-06,6.11E-05,9.36E-04,0.00000
274.,36.496,8.34E-06,6.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.34E-06,6.26E-05,9.52E-04,0.00000
276.,36.232,8.41E-06,6.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.41E-06,6.41E-05,9.69E-04,0.00000
278.,35.971,8.49E-06,6.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.49E-06,6.56E-05,9.86E-04,0.00000
280.,35.714,8.56E-06,6.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.56E-06,6.71E-05,1.00E-03,0.00000
282.,35.461,8.63E-06,6.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.63E-06,6.86E-05,1.02E-03,0.00000
284.,35.211,8.69E-06,7.01E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.69E-06,7.01E-05,1.04E-03,0.00000
286.,34.965,8.76E-06,7.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-06,7.16E-05,1.06E-03,0.00000
288.,34.722,8.83E-06,7.32E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.83E-06,7.32E-05,1.07E-03,0.00000
290.,34.483,8.90E-06,7.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.90E-06,7.48E-05,1.09E-03,0.00000
292.,34.247,8.96E-06,7.64E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.96E-06,7.64E-05,1.11E-03,0.00000
294.,34.014,9.02E-06,7.80E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.02E-06,7.80E-05,1.13E-03,0.00000
296.,33.784,9.09E-06,7.96E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.09E-06,7.96E-05,1.14E-03,0.00000
298.,33.557,9.16E-06,8.13E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.16E-06,8.13E-05,1.16E-03,0.00000
300.,33.333,9.23E-06,8.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.23E-06,8.31E-05,1.18E-03,0.00000
302.,33.113,9.30E-06,8.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.30E-06,8.48E-05,1.20E-03,0.00000
304.,32.895,9.36E-06,8.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.36E-06,8.65E-05,1.22E-03,0.00000
306.,32.680,9.42E-06,8.82E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.42E-06,8.82E-05,1.24E-03,0.00000
308.,32.468,9.48E-06,8.99E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.48E-06,8.99E-05,1.26E-03,0.00000
310.,32.258,9.54E-06,9.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.54E-06,9.17E-05,1.28E-03,0.00000
312.,32.051,9.60E-06,9.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.60E-06,9.35E-05,1.30E-03,0.00000
314.,31.847,9.67E-06,9.54E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.67E-06,9.54E-05,1.31E-03,0.00000
316.,31.646,9.74E-06,9.72E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.74E-06,9.72E-05,1.33E-03,0.00000
318.,31.447,9.79E-06,9.90E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-06,9.90E-05,1.35E-03,0.00000
320.,31.250,9.85E-06,1.01E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.85E-06,1.01E-04,1.37E-03,0.00000
322.,31.056,9.92E-06,1.03E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.92E-06,1.03E-04,1.39E-03,0.00000
324.,30.864,9.99E-06,1.05E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.99E-06,1.05E-04,1.41E-03,0.00000
326.,30.675,1.01E-05,1.07E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-05,1.07E-04,1.43E-03,0.00000
328.,30.488,1.01E-05,1.09E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-05,1.09E-04,1.45E-03,0.00000
330.,30.303,1.02E-05,1.11E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-05,1.11E-04,1.47E-03,0.00000
332.,30.120,1.02E-05,1.13E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-05,1.13E-04,1.49E-03,0.00000
334.,29.940,1.03E-05,1.15E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.15E-04,1.51E-03,0.00000
336.,29.762,1.03E-05,1.17E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.17E-04,1.54E-03,0.00000
338.,29.586,1.04E-05,1.19E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-05,1.19E-04,1.56E-03,0.00000
340.,29.412,1.04E-05,1.21E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-05,1.21E-04,1.58E-03,0.00000
342.,29.240,1.05E-05,1.23E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.23E-04,1.60E-03,0.00000
344.,29.070,1.05E-05,1.25E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.25E-04,1.62E-03,0.00000
346.,28.902,1.06E-05,1.27E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-05,1.27E-04,1.64E-03,0.00000
348.,28.736,1.07E-05,1.29E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-05,1.29E-04,1.66E-03,0.00000
350.,28.571,1.07E-05,1.31E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-05,1.31E-04,1.68E-03,0.00000
352.,28.409,1.08E-05,1.34E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-05,1.34E-04,1.70E-03,0.00000
354.,28.249,1.08E-05,1.36E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-05,1.36E-04,1.73E-03,0.00000
