*****,MODTRAN3 Version 1.3,12/1/95,***** (Water Vapor == 0.25)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN), PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN), TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
258., 38.760,7.76E-06,5.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.76E-06,5.17E-05,8.23E-04,0.00000
260., 38.462,7.83E-06,5.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.83E-06,5.29E-05,8.38E-04,0.00000
262., 38.168,7.90E-06,5.42E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.90E-06,5.42E-05,8.54E-04,0.00000
264., 37.879,7.98E-06,5.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.98E-06,5.56E-05,8.70E-04,0.00000
266., 37.594,8.05E-06,5.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.05E-06,5.70E-05,8.86E-04,0.00000
268., 37.313,8.12E-06,5.83E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.12E-06,5.83E-05,9.03E-04,0.00000
270., 37.037,8.19E-06,5.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.19E-06,5.97E-05,9.19E-04,0.00000
272., 36.765,8.26E-06,6.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.26E-06,6.11E-05,9.35E-04,0.00000
274., 36.496,8.34E-06,6.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.34E-06,6.26E-05,9.52E-04,0.00000
276., 36.232,8.41E-06,6.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.41E-06,6.41E-05,9.69E-04,0.00000
278., 35.971,8.49E-06,6.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.49E-06,6.56E-05,9.86E-04,0.00000
280., 35.714,8.56E-06,6.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.56E-06,6.71E-05,1.00E-03,0.00000
282., 35.461,8.63E-06,6.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.63E-06,6.86E-05,1.02E-03,0.00000
284., 35.211,8.69E-06,7.01E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.69E-06,7.01E-05,1.04E-03,0.00000
286., 34.965,8.76E-06,7.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-06,7.16E-05,1.06E-03,0.00000
288., 34.722,8.83E-06,7.32E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.83E-06,7.32E-05,1.07E-03,0.00000
290., 34.483,8.90E-06,7.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.90E-06,7.48E-05,1.09E-03,0.00000
292., 34.247,8.96E-06,7.64E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.96E-06,7.64E-05,1.11E-03,0.00000
294., 34.014,9.02E-06,7.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.02E-06,7.79E-05,1.13E-03,0.00000
296., 33.784,9.08E-06,7.96E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.08E-06,7.96E-05,1.14E-03,0.00000
298., 33.557,9.16E-06,8.13E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.16E-06,8.13E-05,1.16E-03,0.00000
300., 33.333,9.23E-06,8.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.23E-06,8.31E-05,1.18E-03,0.00000
302., 33.113,9.30E-06,8.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.30E-06,8.48E-05,1.20E-03,0.00000
304., 32.895,9.36E-06,8.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.36E-06,8.65E-05,1.22E-03,0.00000
306., 32.680,9.42E-06,8.82E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.42E-06,8.82E-05,1.24E-03,0.00000
308., 32.468,9.47E-06,8.99E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.47E-06,8.99E-05,1.26E-03,0.00000
310., 32.258,9.53E-06,9.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.53E-06,9.16E-05,1.28E-03,0.00000
312., 32.051,9.60E-06,9.34E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.60E-06,9.34E-05,1.29E-03,0.00000
314., 31.847,9.67E-06,9.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.67E-06,9.53E-05,1.31E-03,0.00000
316., 31.646,9.73E-06,9.72E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.73E-06,9.72E-05,1.33E-03,0.00000
318., 31.447,9.78E-06,9.89E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.78E-06,9.89E-05,1.35E-03,0.00000
320., 31.250,9.84E-06,1.01E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.84E-06,1.01E-04,1.37E-03,0.00000
322., 31.056,9.92E-06,1.03E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.92E-06,1.03E-04,1.39E-03,0.00000
324., 30.864,9.99E-06,1.05E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.99E-06,1.05E-04,1.41E-03,0.00000
326., 30.675,1.00E-05,1.07E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-05,1.07E-04,1.43E-03,0.00000
328., 30.488,1.01E-05,1.09E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-05,1.09E-04,1.45E-03,0.00000
330., 30.303,1.02E-05,1.11E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-05,1.11E-04,1.47E-03,0.00000
332., 30.120,1.02E-05,1.12E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-05,1.12E-04,1.49E-03,0.00000
334., 29.940,1.03E-05,1.15E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.15E-04,1.51E-03,0.00000
336., 29.762,1.03E-05,1.17E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.17E-04,1.53E-03,0.00000
338., 29.586,1.04E-05,1.19E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-05,1.19E-04,1.56E-03,0.00000
340., 29.412,1.04E-05,1.21E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-05,1.21E-04,1.58E-03,0.00000
342., 29.240,1.05E-05,1.23E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.23E-04,1.60E-03,0.00000
344., 29.070,1.05E-05,1.25E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.25E-04,1.62E-03,0.00000
346., 28.902,1.06E-05,1.27E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-05,1.27E-04,1.64E-03,0.00000
348., 28.736,1.07E-05,1.29E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-05,1.29E-04,1.66E-03,0.00000
