*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
170.,58.824,4.26E-06,1.23E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.26E-06,1.23E-05,2.77E-04,0.00000
172.,58.140,4.33E-06,1.28E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.33E-06,1.28E-05,2.86E-04,0.00000
174.,57.471,4.41E-06,1.33E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.41E-06,1.33E-05,2.95E-04,0.00000
176.,56.818,4.48E-06,1.39E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.48E-06,1.39E-05,3.04E-04,0.00000
178.,56.180,4.56E-06,1.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.56E-06,1.44E-05,3.13E-04,0.00000
180.,55.556,4.63E-06,1.50E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.63E-06,1.50E-05,3.22E-04,0.00000
182.,54.945,4.71E-06,1.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.71E-06,1.56E-05,3.32E-04,0.00000
184.,54.348,4.79E-06,1.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.79E-06,1.62E-05,3.41E-04,0.00000
186.,53.763,4.86E-06,1.68E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.86E-06,1.68E-05,3.51E-04,0.00000
188.,53.191,4.94E-06,1.74E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.94E-06,1.74E-05,3.61E-04,0.00000
190.,52.632,5.01E-06,1.81E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.01E-06,1.81E-05,3.71E-04,0.00000
192.,52.083,5.09E-06,1.88E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.09E-06,1.88E-05,3.81E-04,0.00000
194.,51.546,5.17E-06,1.94E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.17E-06,1.94E-05,3.91E-04,0.00000
196.,51.020,5.24E-06,2.01E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.24E-06,2.01E-05,4.02E-04,0.00000
198.,50.505,5.32E-06,2.08E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.32E-06,2.08E-05,4.12E-04,0.00000
200.,50.000,5.39E-06,2.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.39E-06,2.16E-05,4.23E-04,0.00000
202.,49.505,5.47E-06,2.23E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.47E-06,2.23E-05,4.34E-04,0.00000
204.,49.020,5.54E-06,2.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.54E-06,2.31E-05,4.45E-04,0.00000
206.,48.544,5.62E-06,2.38E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.62E-06,2.38E-05,4.57E-04,0.00000
