 ***** MODTRAN3 Version 1.3/12/1/95 ***** (Water Vapor == 0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN), PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN), TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
24.,416.667,1.29E-07,7.44E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E-07,7.44E-09,1.14E-06,0.00002
26.,384.615,1.51E-07,1.02E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-07,1.02E-08,1.44E-06,0.00000
28.,357.143,1.74E-07,1.36E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E-07,1.36E-08,1.79E-06,0.00000
30.,333.333,1.99E-07,1.79E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.99E-07,1.79E-08,2.19E-06,0.00000
32.,312.500,2.25E-07,2.30E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E-07,2.30E-08,2.64E-06,0.00000
34.,294.118,2.53E-07,2.92E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E-07,2.92E-08,3.14E-06,0.00000
36.,277.778,2.82E-07,3.65E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.82E-07,3.65E-08,3.71E-06,0.00000
38.,263.158,3.13E-07,4.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E-07,4.51E-08,4.33E-06,0.00000
40.,250.000,3.45E-07,5.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.45E-07,5.51E-08,5.02E-06,0.00000
42.,238.095,3.78E-07,6.66E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E-07,6.66E-08,5.78E-06,0.00000
44.,227.273,4.12E-07,7.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E-07,7.98E-08,6.60E-06,0.00000
46.,217.391,4.48E-07,9.49E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.48E-07,9.49E-08,7.50E-06,0.00000
48.,208.333,4.86E-07,1.12E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.86E-07,1.12E-07,8.47E-06,0.00000
50.,200.000,5.24E-07,1.31E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.24E-07,1.31E-07,9.52E-06,0.00000
52.,192.308,5.64E-07,1.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.64E-07,1.53E-07,1.06E-05,0.00000
54.,185.185,6.05E-07,1.76E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.05E-07,1.76E-07,1.19E-05,0.00000
56.,178.571,6.47E-07,2.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.47E-07,2.03E-07,1.31E-05,0.00000
58.,172.414,6.91E-07,2.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E-07,2.32E-07,1.45E-05,0.00000
60.,166.667,7.36E-07,2.65E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.36E-07,2.65E-07,1.60E-05,0.00000
62.,161.290,7.81E-07,3.00E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E-07,3.00E-07,1.76E-05,0.00000
64.,156.250,8.28E-07,3.39E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.28E-07,3.39E-07,1.92E-05,0.00000
66.,151.515,8.76E-07,3.82E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-07,3.82E-07,2.10E-05,0.00000
68.,147.059,9.25E-07,4.28E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.25E-07,4.28E-07,2.28E-05,0.00000
70.,142.857,9.75E-07,4.78E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.75E-07,4.78E-07,2.48E-05,0.00000
72.,138.889,1.03E-06,5.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-06,5.32E-07,2.68E-05,0.00000
74.,135.135,1.08E-06,5.90E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-06,5.90E-07,2.90E-05,0.00000
76.,131.579,1.13E-06,6.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E-06,6.53E-07,3.12E-05,0.00000
78.,128.205,1.19E-06,7.21E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-06,7.21E-07,3.36E-05,0.00000
80.,125.000,1.24E-06,7.94E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-06,7.94E-07,3.61E-05,0.00000
82.,121.951,1.30E-06,8.71E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-06,8.71E-07,3.87E-05,0.00000
