wavelength, Radiance (T-5), Radiance (T), Radiance (T+5)
51.546,1.94e-05,2e-05,2.05e-05
51.02,2.01e-05,2.07e-05,2.13e-05
50.505,2.08e-05,2.14e-05,2.2e-05
50.0,2.16e-05,2.22e-05,2.28e-05
49.505,2.23e-05,2.29e-05,2.36e-05
49.02,2.31e-05,2.37e-05,2.44e-05
48.544,2.38e-05,2.45e-05,2.52e-05
48.077,2.46e-05,2.53e-05,2.61e-05
47.619,2.55e-05,2.62e-05,2.69e-05
47.17,2.63e-05,2.7e-05,2.78e-05
46.729,2.71e-05,2.79e-05,2.87e-05
46.296,2.8e-05,2.88e-05,2.96e-05
45.872,2.89e-05,2.97e-05,3.06e-05
45.455,2.98e-05,3.06e-05,3.15e-05
45.045,3.07e-05,3.16e-05,3.25e-05
44.643,3.16e-05,3.25e-05,3.35e-05
44.248,3.25e-05,3.35e-05,3.45e-05
43.86,3.35e-05,3.45e-05,3.55e-05
43.478,3.45e-05,3.55e-05,3.66e-05
43.103,3.55e-05,3.66e-05,3.76e-05
42.735,3.65e-05,3.76e-05,3.87e-05
42.373,3.75e-05,3.87e-05,3.98e-05
42.017,3.86e-05,3.97e-05,4.09e-05
41.667,3.96e-05,4.09e-05,4.21e-05
41.322,4.07e-05,4.2e-05,4.33e-05
40.984,4.19e-05,4.31e-05,4.44e-05
40.65,4.3e-05,4.43e-05,4.57e-05
40.323,4.41e-05,4.55e-05,4.69e-05
40.0,4.53e-05,4.67e-05,4.81e-05
39.683,4.65e-05,4.79e-05,4.94e-05
39.37,4.77e-05,4.92e-05,5.07e-05
39.063,4.89e-05,5.04e-05,5.2e-05
38.76,5.01e-05,5.17e-05,5.33e-05
38.462,5.13e-05,5.3e-05,5.46e-05
38.168,5.26e-05,5.43e-05,5.6e-05
37.879,5.39e-05,5.56e-05,5.74e-05
37.594,5.52e-05,5.7e-05,5.88e-05
37.313,5.65e-05,5.84e-05,6.02e-05
37.037,5.79e-05,5.98e-05,6.17e-05
36.765,5.92e-05,6.12e-05,6.31e-05
36.496,6.07e-05,6.26e-05,6.46e-05
36.232,6.21e-05,6.41e-05,6.62e-05
35.971,6.35e-05,6.56e-05,6.77e-05
35.714,6.49e-05,6.71e-05,6.93e-05
35.461,6.64e-05,6.86e-05,7.08e-05
35.211,6.79e-05,7.01e-05,7.24e-05
34.965,6.93e-05,7.17e-05,7.4e-05
34.722,7.09e-05,7.33e-05,7.57e-05
34.483,7.24e-05,7.48e-05,7.73e-05
34.247,7.39e-05,7.64e-05,7.9e-05
34.014,7.54e-05,7.8e-05,8.06e-05
33.784,7.7e-05,7.97e-05,8.23e-05
33.557,7.87e-05,8.14e-05,8.41e-05
33.333,8.03e-05,8.31e-05,8.59e-05
33.113,8.2e-05,8.48e-05,8.77e-05
32.895,8.36e-05,8.66e-05,8.95e-05
32.68,8.53e-05,8.83e-05,9.13e-05
32.468,8.69e-05,9e-05,9.31e-05
32.258,8.86e-05,9.17e-05,9.49e-05
32.051,9.03e-05,9.35e-05,9.68e-05
31.847,9.21e-05,9.54e-05,9.87e-05
31.646,9.39e-05,9.73e-05,0.000101
31.447,9.56e-05,9.91e-05,0.000103
31.25,9.74e-05,0.000101,0.000104
31.056,9.93e-05,0.000103,0.000107
30.864,0.000101,0.000105,0.000109
30.675,0.000103,0.000107,0.000111
30.488,0.000105,0.000109,0.000113
30.303,0.000107,0.000111,0.000115
30.12,0.000109,0.000113,0.000117
29.94,0.000111,0.000115,0.000119
29.762,0.000113,0.000117,0.000121
29.586,0.000114,0.000119,0.000123
29.412,0.000116,0.000121,0.000125
29.24,0.000118,0.000123,0.000127
29.07,0.00012,0.000125,0.00013
28.902,0.000122,0.000127,0.000132
28.736,0.000125,0.000129,0.000134
28.571,0.000127,0.000132,0.000136
28.409,0.000129,0.000134,0.000139
28.249,0.000131,0.000136,0.000141
28.09,0.000133,0.000138,0.000143
27.933,0.000135,0.00014,0.000146
27.778,0.000137,0.000142,0.000148
27.624,0.000139,0.000144,0.00015
27.473,0.000141,0.000146,0.000152
27.322,0.000143,0.000149,0.000154
27.174,0.000146,0.000151,0.000157
27.027,0.000148,0.000154,0.00016
26.882,0.00015,0.000156,0.000162
26.738,0.000153,0.000159,0.000165
26.596,0.000155,0.000161,0.000167
26.455,0.000157,0.000163,0.000169
26.316,0.000159,0.000165,0.000172
26.178,0.000161,0.000168,0.000174
26.042,0.000164,0.00017,0.000177
25.907,0.000166,0.000173,0.00018
25.773,0.000168,0.000175,0.000182
25.641,0.00017,0.000177,0.000184
25.51,0.000173,0.00018,0.000187
25.381,0.000176,0.000183,0.00019
25.253,0.000178,0.000186,0.000193
25.126,0.000181,0.000188,0.000196
25.0,0.000183,0.000191,0.000198
24.876,0.000184,0.000192,0.0002
24.752,0.000186,0.000194,0.000202
24.631,0.000187,0.000195,0.000203
24.51,0.000189,0.000196,0.000204
24.39,0.000191,0.000199,0.000207
