wavelength, Radiance (T-5), Radiance (T), Radiance (T+5)
7.949,0.000259,0.000297,0.00034
7.937,0.000454,0.000512,0.000576
7.924,0.000367,0.000415,0.000468
7.911,0.000324,0.000371,0.000422
7.899,0.000436,0.0005,0.000569
7.886,0.000517,0.000588,0.000665
7.874,0.000547,0.000618,0.000694
7.862,0.000477,0.000537,0.000603
7.849,0.00028,0.000316,0.000355
7.837,0.000192,0.000216,0.000242
7.825,0.000166,0.00019,0.000216
7.813,0.000273,0.000316,0.000364
7.8,0.000334,0.000381,0.000433
7.788,0.000315,0.000357,0.000402
7.776,0.000367,0.000418,0.000474
7.764,0.000482,0.000549,0.000621
7.752,0.000383,0.000444,0.000511
7.74,0.000287,0.000336,0.00039
7.728,0.00029,0.000332,0.000379
7.716,0.000402,0.000459,0.000521
7.704,0.000345,0.000393,0.000446
7.692,0.000283,0.00032,0.000361
7.68,0.000372,0.000418,0.000469
7.669,0.00047,0.000528,0.000592
7.657,0.00049,0.000552,0.00062
7.645,0.00045,0.000511,0.000578
7.634,0.000401,0.000458,0.000519
7.622,0.000491,0.000555,0.000625
7.61,0.000562,0.000633,0.000711
7.599,0.000561,0.000633,0.000711
7.587,0.000567,0.000638,0.000716
7.576,0.000548,0.000617,0.000692
7.564,0.000475,0.000539,0.000608
7.553,0.000369,0.000423,0.000483
7.541,0.000351,0.000402,0.000458
7.53,0.000408,0.000466,0.00053
7.519,0.000383,0.000436,0.000495
7.508,0.000393,0.000445,0.000502
7.496,0.000436,0.000495,0.000559
7.485,0.000504,0.00057,0.000643
7.474,0.000557,0.000627,0.000704
7.463,0.000554,0.000625,0.000701
7.452,0.000513,0.000581,0.000654
7.44,0.000428,0.000488,0.000553
7.429,0.00041,0.000467,0.00053
7.418,0.000472,0.000534,0.000601
7.407,0.000485,0.000548,0.000616
7.396,0.000451,0.000512,0.000578
7.386,0.000493,0.000558,0.00063
7.375,0.000494,0.00056,0.000632
7.364,0.00049,0.000556,0.000628
7.353,0.00052,0.000589,0.000663
7.342,0.000539,0.000608,0.000684
7.331,0.000529,0.000598,0.000672
7.321,0.0005,0.000566,0.000637
7.31,0.000512,0.000579,0.000652
7.299,0.000523,0.000592,0.000666
7.289,0.000525,0.000594,0.000669
7.278,0.000532,0.000601,0.000676
7.267,0.000526,0.000595,0.000669
7.257,0.000519,0.000587,0.000661
7.246,0.0005,0.000567,0.00064
7.236,0.000484,0.000549,0.00062
7.225,0.000494,0.00056,0.000632
7.215,0.000515,0.000583,0.000657
7.205,0.000521,0.000589,0.000663
7.194,0.000514,0.000582,0.000656
7.184,0.000513,0.000581,0.000655
7.174,0.000517,0.000585,0.000659
7.163,0.000516,0.000584,0.000658
7.153,0.000514,0.000582,0.000656
7.143,0.000511,0.000578,0.000652
7.133,0.000505,0.000572,0.000645
7.123,0.000506,0.000573,0.000647
7.112,0.000499,0.000565,0.000638
7.102,0.000487,0.000553,0.000624
7.092,0.000493,0.000559,0.000631
7.082,0.000492,0.000558,0.00063
7.072,0.00049,0.000555,0.000627
7.062,0.000497,0.000563,0.000636
7.052,0.0005,0.000567,0.000641
7.042,0.000499,0.000566,0.000639
7.032,0.000495,0.000562,0.000634
7.022,0.000493,0.000559,0.000632
7.013,0.000488,0.000554,0.000626
7.003,0.000488,0.000553,0.000626
6.993,0.000488,0.000554,0.000626
6.983,0.000485,0.000551,0.000623
6.974,0.000485,0.000551,0.000623
6.964,0.000487,0.000553,0.000625
6.954,0.000483,0.000549,0.000621
6.944,0.000476,0.000541,0.000612
6.935,0.000471,0.000535,0.000605
6.925,0.000469,0.000534,0.000604
6.916,0.000474,0.000539,0.00061
6.906,0.000474,0.000539,0.00061
6.897,0.000471,0.000536,0.000606
6.887,0.00047,0.000535,0.000606
6.878,0.000471,0.000536,0.000607
6.868,0.000472,0.000537,0.000608
6.859,0.000471,0.000535,0.000607
6.849,0.000467,0.000532,0.000603
6.84,0.000464,0.000528,0.000599
6.831,0.000464,0.000528,0.000598
6.821,0.000461,0.000525,0.000596
6.812,0.000458,0.000522,0.000592
6.803,0.000458,0.000521,0.000591
6.793,0.000458,0.000522,0.000592
6.784,0.000457,0.000521,0.000591
6.775,0.000455,0.000518,0.000588
6.766,0.000451,0.000514,0.000583
6.757,0.000448,0.000511,0.00058
6.748,0.000447,0.00051,0.000579
6.739,0.000445,0.000508,0.000576
6.729,0.000446,0.000508,0.000577
6.72,0.000446,0.000509,0.000578
6.711,0.000445,0.000508,0.000577
6.702,0.000442,0.000504,0.000573
6.693,0.00044,0.000502,0.00057
6.684,0.00044,0.000502,0.000571
6.676,0.000439,0.000501,0.00057
6.667,0.000437,0.000499,0.000567
6.658,0.000434,0.000496,0.000564
6.649,0.000434,0.000496,0.000564
6.64,0.000434,0.000495,0.000563
6.631,0.000432,0.000494,0.000562
6.623,0.00043,0.000491,0.000559
6.614,0.000428,0.000489,0.000557
6.605,0.000426,0.000488,0.000555
6.596,0.000425,0.000486,0.000554
6.588,0.000424,0.000485,0.000552
6.579,0.000423,0.000484,0.000551
6.57,0.000421,0.000482,0.000549
6.562,0.000419,0.00048,0.000547
6.553,0.000418,0.000478,0.000545
6.545,0.000416,0.000476,0.000542
6.536,0.000413,0.000473,0.00054
6.527,0.000413,0.000473,0.000539
6.519,0.000412,0.000472,0.000538
6.51,0.00041,0.00047,0.000535
6.502,0.000409,0.000469,0.000534
6.494,0.000408,0.000467,0.000533
6.485,0.000406,0.000466,0.000531
6.477,0.000405,0.000464,0.000529
6.468,0.000402,0.000461,0.000526
6.46,0.0004,0.000459,0.000523
6.452,0.000399,0.000457,0.000522
6.443,0.000397,0.000456,0.000521
6.435,0.000396,0.000455,0.000519
6.427,0.000396,0.000454,0.000519
6.418,0.000394,0.000453,0.000517
6.41,0.000393,0.000451,0.000515
6.402,0.000391,0.000449,0.000513
6.394,0.000389,0.000446,0.00051
6.386,0.000386,0.000444,0.000507
6.378,0.000386,0.000443,0.000507
6.369,0.000384,0.000442,0.000505
6.361,0.000382,0.000439,0.000502
6.353,0.000381,0.000438,0.000501
6.345,0.00038,0.000437,0.000499
6.337,0.000378,0.000435,0.000497
6.329,0.000374,0.00043,0.000492
6.321,0.000371,0.000427,0.000488
6.313,0.000368,0.000423,0.000484
6.305,0.000365,0.00042,0.000481
6.297,0.000364,0.000419,0.00048
6.289,0.000364,0.000419,0.00048
6.281,0.000363,0.000418,0.000479
6.274,0.000363,0.000418,0.000479
6.266,0.000361,0.000416,0.000476
6.258,0.000356,0.00041,0.00047
6.25,0.000355,0.000409,0.000469
6.242,0.000357,0.000411,0.000472
6.234,0.000355,0.000409,0.000469
6.227,0.000354,0.000408,0.000467
6.219,0.000354,0.000408,0.000468
6.211,0.000353,0.000406,0.000466
6.203,0.00035,0.000404,0.000464
6.196,0.000351,0.000405,0.000465
6.188,0.000351,0.000405,0.000465
6.18,0.000349,0.000403,0.000463
6.173,0.000347,0.000401,0.00046
6.165,0.000346,0.0004,0.000459
6.158,0.000345,0.000399,0.000458
6.15,0.000344,0.000397,0.000456
6.143,0.000342,0.000395,0.000453
6.135,0.000339,0.000392,0.00045
6.127,0.000338,0.000391,0.000449
6.12,0.000339,0.000392,0.00045
6.112,0.000338,0.000391,0.000449
6.105,0.000336,0.000388,0.000447
6.098,0.000333,0.000385,0.000443
6.09,0.000332,0.000384,0.000441
6.083,0.000331,0.000383,0.000441
6.075,0.000331,0.000383,0.000441
6.068,0.00033,0.000382,0.00044
6.061,0.000329,0.00038,0.000438
6.053,0.000328,0.000379,0.000437
6.046,0.000326,0.000378,0.000435
6.039,0.000324,0.000375,0.000432
6.031,0.000321,0.000372,0.000428
6.024,0.00032,0.00037,0.000427
6.017,0.00032,0.00037,0.000426
6.01,0.000318,0.000368,0.000424
6.002,0.000316,0.000366,0.000422
5.995,0.000316,0.000366,0.000422
5.988,0.000315,0.000366,0.000422
5.981,0.000314,0.000363,0.000419
5.974,0.000312,0.000362,0.000418
5.967,0.000311,0.000361,0.000416
5.959,0.000309,0.000358,0.000413
5.952,0.000308,0.000357,0.000412
5.945,0.000307,0.000356,0.000412
5.938,0.000306,0.000355,0.00041
5.931,0.000305,0.000354,0.000408
5.924,0.000303,0.000351,0.000406
5.917,0.000301,0.00035,0.000404
5.91,0.0003,0.000348,0.000402
5.903,0.000299,0.000347,0.000401
5.896,0.000299,0.000347,0.000401
5.889,0.000297,0.000346,0.000399
5.882,0.000296,0.000344,0.000398
5.875,0.000295,0.000342,0.000396
5.869,0.000293,0.00034,0.000394
5.862,0.000291,0.000339,0.000392
5.855,0.000289,0.000336,0.000389
5.848,0.000287,0.000334,0.000387
5.841,0.000286,0.000333,0.000386
5.834,0.000286,0.000333,0.000385
5.828,0.000286,0.000332,0.000385
5.821,0.000284,0.000331,0.000383
5.814,0.000282,0.000328,0.00038
5.807,0.00028,0.000326,0.000377
5.8,0.000278,0.000323,0.000375
5.794,0.000275,0.000321,0.000372
5.787,0.000275,0.000321,0.000372
5.78,0.000276,0.000321,0.000372
5.774,0.000275,0.000321,0.000372
5.767,0.000275,0.00032,0.000371
5.76,0.000273,0.000318,0.000369
5.754,0.000271,0.000316,0.000367
5.747,0.00027,0.000315,0.000365
5.741,0.000268,0.000313,0.000363
5.734,0.000267,0.000312,0.000362
5.727,0.000266,0.00031,0.00036
5.721,0.000265,0.00031,0.00036
5.714,0.000264,0.000309,0.000359
5.708,0.000262,0.000307,0.000356
5.701,0.00026,0.000303,0.000352
5.695,0.000259,0.000303,0.000352
5.688,0.000258,0.000301,0.00035
5.682,0.000257,0.0003,0.000349
5.675,0.000256,0.000299,0.000348
5.669,0.000253,0.000296,0.000344
5.663,0.000252,0.000294,0.000342
5.656,0.000253,0.000295,0.000344
5.65,0.000252,0.000295,0.000343
5.643,0.000252,0.000294,0.000342
5.637,0.00025,0.000292,0.00034
5.631,0.000247,0.00029,0.000337
5.624,0.000245,0.000287,0.000335
5.618,0.000245,0.000287,0.000335
5.612,0.000243,0.000285,0.000332
5.605,0.000242,0.000283,0.00033
5.599,0.000238,0.000279,0.000326
5.593,0.000237,0.000278,0.000324
5.587,0.00024,0.000281,0.000327
5.58,0.00024,0.000281,0.000328
5.574,0.000238,0.000279,0.000326
5.568,0.000236,0.000277,0.000323
5.562,0.000235,0.000275,0.000321
5.556,0.000234,0.000275,0.00032
5.549,0.000232,0.000272,0.000317
5.543,0.000226,0.000266,0.00031
5.537,0.000225,0.000264,0.000308
5.531,0.000226,0.000266,0.00031
5.525,0.000227,0.000267,0.000312
5.519,0.000224,0.000263,0.000308
5.513,0.000211,0.000247,0.000289
5.507,0.000207,0.000244,0.000285
5.501,0.000204,0.000239,0.00028
5.495,0.0002,0.000234,0.000274
5.488,0.000213,0.000251,0.000293
5.482,0.00022,0.000259,0.000302
5.476,0.00022,0.000259,0.000303
5.47,0.000219,0.000258,0.000301
5.464,0.000219,0.000258,0.000301
5.459,0.000215,0.000253,0.000296
5.453,0.000209,0.000246,0.000288
5.447,0.00021,0.000247,0.000289
5.441,0.000209,0.000246,0.000288
5.435,0.000205,0.000241,0.000282
5.429,0.000209,0.000246,0.000288
5.423,0.000212,0.00025,0.000292
5.417,0.000211,0.000248,0.000291
5.411,0.000205,0.000241,0.000283
5.405,0.000187,0.000221,0.000259
5.4,0.000172,0.000202,0.000236
5.394,0.000157,0.000184,0.000214
5.388,0.000156,0.000183,0.000215
5.382,0.000178,0.00021,0.000247
5.376,0.000185,0.000219,0.000258
5.371,0.000176,0.000208,0.000245
5.365,0.000182,0.000215,0.000253
5.359,0.000196,0.000232,0.000272
5.353,0.0002,0.000236,0.000277
5.348,0.000197,0.000233,0.000273
5.342,0.000178,0.00021,0.000247
5.336,0.000144,0.000169,0.000198
5.33,0.000127,0.00015,0.000175
5.325,0.000129,0.000152,0.000179
5.319,0.000123,0.000146,0.000172
5.313,0.000114,0.000134,0.000157
5.308,0.000155,0.000182,0.000214
5.302,0.000168,0.000198,0.000233
5.297,0.000174,0.000205,0.000241
5.291,0.000184,0.000218,0.000256
5.285,0.000172,0.000204,0.00024
5.28,0.000175,0.000207,0.000244
5.274,0.000168,0.000199,0.000234
5.269,0.000122,0.000145,0.000172
5.263,9.38e-05,0.000112,0.000132
5.258,0.000116,0.000138,0.000163
5.252,0.000142,0.000169,0.000198
5.247,0.000152,0.00018,0.000212
5.241,0.000171,0.000203,0.000239
5.236,0.000168,0.0002,0.000235
5.23,0.000137,0.000162,0.000191
5.225,0.00013,0.000154,0.000182
5.219,0.000154,0.000183,0.000216
5.214,0.000172,0.000204,0.000241
5.208,0.000171,0.000202,0.000239
5.203,0.000171,0.000203,0.000239
5.198,0.000159,0.000189,0.000223
5.192,0.000115,0.000137,0.000163
5.187,7.86e-05,9.4e-05,0.000112
5.181,6.41e-05,7.63e-05,9.03e-05
5.176,9.8e-05,0.000117,0.000139
5.171,0.000103,0.000124,0.000148
5.165,7.19e-05,8.64e-05,0.000103
5.16,8.3e-05,9.98e-05,0.000119
5.155,0.000118,0.000142,0.000168
5.149,0.000156,0.000185,0.000219
5.144,0.000162,0.000192,0.000227
5.139,0.000149,0.000177,0.000209
5.133,0.000107,0.000128,0.000151
5.128,7.3e-05,8.77e-05,0.000105
5.123,6.17e-05,7.36e-05,8.73e-05
5.118,0.000101,0.000121,0.000144
5.112,0.000111,0.000133,0.000159
5.107,7.27e-05,8.81e-05,0.000106
5.102,7.82e-05,9.38e-05,0.000112
5.097,8.69e-05,0.000104,0.000124
5.092,7.84e-05,9.4e-05,0.000112
5.086,0.000128,0.000153,0.000182
5.081,0.000127,0.000152,0.000181
5.076,6.58e-05,7.93e-05,9.5e-05
5.071,3.16e-05,3.78e-05,4.5e-05
5.066,3.17e-05,3.78e-05,4.48e-05
5.061,4.81e-05,5.73e-05,6.79e-05
5.056,3.34e-05,3.97e-05,4.7e-05
5.051,2.7e-05,3.26e-05,3.9e-05
5.045,3.08e-05,3.74e-05,4.52e-05
5.04,3.27e-05,3.96e-05,4.77e-05
5.035,6.31e-05,7.62e-05,9.15e-05
5.03,0.000112,0.000135,0.000161
5.025,0.000124,0.000149,0.000178
5.02,0.000133,0.000159,0.000189
5.015,9.55e-05,0.000115,0.000137
5.01,5.02e-05,6.06e-05,7.27e-05
5.005,6.76e-05,8.07e-05,9.59e-05
5.0,5.56e-05,6.66e-05,7.92e-05
4.995,2.22e-05,2.69e-05,3.25e-05
4.99,1.89e-05,2.29e-05,2.77e-05
4.985,3.92e-05,4.79e-05,5.81e-05
4.98,7.31e-05,8.87e-05,0.000107
4.975,5.03e-05,6.07e-05,7.28e-05
4.97,2.34e-05,2.85e-05,3.45e-05
4.965,4.08e-05,4.96e-05,5.99e-05
4.96,9.85e-05,0.000119,0.000142
4.955,0.000121,0.000146,0.000174
4.95,7.87e-05,9.56e-05,0.000115
4.946,5.2e-05,6.4e-05,7.81e-05
4.941,4.88e-05,6.04e-05,7.41e-05
4.936,4.75e-05,5.77e-05,6.97e-05
4.931,3.91e-05,4.7e-05,5.62e-05
4.926,1.36e-05,1.65e-05,1.98e-05
4.921,1.43e-05,1.77e-05,2.17e-05
4.916,2.37e-05,2.98e-05,3.72e-05
4.912,2.61e-05,3.24e-05,4e-05
4.907,3.87e-05,4.78e-05,5.86e-05
4.902,6.37e-05,7.8e-05,9.48e-05
4.897,8.57e-05,0.000104,0.000126
4.892,6.07e-05,7.37e-05,8.89e-05
4.888,4.11e-05,5.05e-05,6.16e-05
4.883,3.31e-05,4.08e-05,5e-05
4.878,2.35e-05,2.89e-05,3.52e-05
4.873,2.69e-05,3.3e-05,4.03e-05
4.869,2.84e-05,3.49e-05,4.24e-05
4.864,2.65e-05,3.21e-05,3.87e-05
4.859,3.47e-05,4.19e-05,5.03e-05
4.854,5.33e-05,6.45e-05,7.75e-05
4.85,4.82e-05,5.85e-05,7.06e-05
4.845,7.43e-05,9.05e-05,0.000109
4.84,7.51e-05,9.15e-05,0.000111
4.836,3.49e-05,4.27e-05,5.18e-05
4.831,2.15e-05,2.62e-05,3.16e-05
4.826,2.85e-05,3.46e-05,4.17e-05
4.822,3.84e-05,4.67e-05,5.64e-05
4.817,4.8e-05,5.81e-05,6.99e-05
4.812,6.43e-05,7.83e-05,9.46e-05
4.808,3.7e-05,4.58e-05,5.61e-05
4.803,2.33e-05,2.88e-05,3.52e-05
4.798,1.54e-05,1.9e-05,2.32e-05
4.794,2.41e-05,3.01e-05,3.72e-05
4.789,3.78e-05,4.72e-05,5.83e-05
4.785,5.05e-05,6.25e-05,7.67e-05
4.78,3.36e-05,4.22e-05,5.26e-05
4.776,2.01e-05,2.59e-05,3.29e-05
4.771,1.75e-05,2.21e-05,2.76e-05
4.766,1.77e-05,2.2e-05,2.7e-05
4.762,1.85e-05,2.3e-05,2.83e-05
4.757,1.07e-05,1.34e-05,1.66e-05
4.753,9.69e-06,1.2e-05,1.48e-05
4.748,1.88e-05,2.31e-05,2.82e-05
4.744,1.55e-05,1.95e-05,2.44e-05
4.739,7.69e-06,9.8e-06,1.24e-05
4.735,1.03e-05,1.31e-05,1.66e-05
4.73,3.6e-05,4.55e-05,5.69e-05
4.726,3.26e-05,4.12e-05,5.16e-05
4.721,8.86e-06,1.13e-05,1.44e-05
4.717,1.01e-05,1.28e-05,1.59e-05
4.713,1.39e-05,1.79e-05,2.27e-05
4.708,1.68e-05,2.14e-05,2.7e-05
4.704,1.14e-05,1.41e-05,1.75e-05
4.699,7.18e-06,9.13e-06,1.15e-05
4.695,8.81e-06,1.13e-05,1.43e-05
4.69,4.45e-06,5.66e-06,7.16e-06
4.686,8.11e-06,1.01e-05,1.26e-05
4.682,3e-05,3.74e-05,4.61e-05
4.677,3.38e-05,4.25e-05,5.28e-05
4.673,1.72e-05,2.21e-05,2.79e-05
4.669,4.9e-06,6.35e-06,8.16e-06
4.664,1.15e-05,1.45e-05,1.81e-05
4.66,1.77e-05,2.24e-05,2.82e-05
4.655,1.08e-05,1.38e-05,1.76e-05
4.651,5.12e-06,6.56e-06,8.34e-06
4.647,9.62e-06,1.2e-05,1.49e-05
4.643,9.48e-06,1.19e-05,1.48e-05
4.638,6.81e-06,8.61e-06,1.08e-05
4.634,5.91e-06,7.41e-06,9.22e-06
4.63,8.34e-06,1.06e-05,1.35e-05
4.625,1.9e-05,2.44e-05,3.09e-05
4.621,1.11e-05,1.42e-05,1.8e-05
4.617,4.07e-06,5.11e-06,6.38e-06
4.613,3.69e-06,4.57e-06,5.62e-06
4.608,6.21e-06,7.56e-06,9.16e-06
4.604,7.24e-06,8.94e-06,1.1e-05
4.6,4.43e-06,5.49e-06,6.77e-06
4.596,3.98e-06,4.89e-06,5.96e-06
4.591,3.91e-06,4.76e-06,5.77e-06
4.587,7.16e-06,8.91e-06,1.1e-05
4.583,7.09e-06,8.77e-06,1.08e-05
4.579,6.03e-06,7.52e-06,9.32e-06
4.575,1.07e-05,1.37e-05,1.74e-05
4.57,9.43e-06,1.21e-05,1.53e-05
4.566,5.14e-06,6.39e-06,7.91e-06
4.562,5.64e-06,7.01e-06,8.66e-06
4.558,6.33e-06,7.86e-06,9.7e-06
4.554,4.84e-06,5.88e-06,7.09e-06
4.55,6.1e-06,7.54e-06,9.27e-06
4.545,8.24e-06,1.03e-05,1.27e-05
