Date,Conditions,RH,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,Vicki time,NWS time,NWS temp,1610 TE (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
2/18/2019,clear sky,41,4.47,4.62,3.44,3.5,10:30,10:15,5.1,-40,-43.3,NaN,10.2,17.5,NaN,
2/19/2019,clear sky,30,5.34,3.83,5.15,6.53,10:40,10:35,5.8,NaN,-38.4,NaN,8.8,9.1,NaN,
2/20/2019,clear sky,56,3.51,3.63,3.36,2.92,12:30,12:15,1.2,NaN,-45.7,NaN,17.4,18.2,NaN,
2/21/2019,overcast,54,3.81,4.52,4.21,5.6,9:00,8:55,-2,NaN,-20.8,NaN,5.4,3.1,NaN,Overcast so NaN to exclude data
2/22/2019,clear sky,14,6.24,8.41,7.71,10.73,11:28,11:15,9.3,NaN,-34.2,NaN,18.4,14,NaN,
2/23/2019,clear sky,37,4.92,2.77,3.69,3.4,9:35,9:35,8.5,NaN,-45.2,NaN,5.4,6.5,NaN,
2/24/2019,clear sky,30,2.9,2.49,2.64,3.86,10:38,10:35,4.4,NaN,-41.9,NaN,12.4,15.7,NaN,
2/25/2019,clear sky,35,3.56,5.6,4.65,5.11,11:10,10:55,3.8,NaN,-40.9,NaN,17.4,17.4,NaN,
2/26/2019,clear sky,45,6.13,4.56,6.63,5.04,9:15,9:15,3.5,NaN,-38.8,NaN,9.7,10.3,NaN,
2/27/2019,clear sky,14,7.86,8.4,9.45,11.14,17:25,17:15,17.7,NaN,-27.9,NaN,13.1,13.4,NaN,
2/28/2019,clear sky,30,7.07,8.85,7.25,6.75,9:10,9:15,11.5,NaN,-34.4,NaN,11.7,12.2,NaN,check NWS accuracy from here back
3/1/2019,overcast,12,7.96,7.38,6.46,7.54,13:49,13:35,20.1,-12,-7.3,NaN,23,23.8,NaN,Overcast so NaN to exclude data
3/2/2019,clear sky,19,11.79,12.19,12.3,7.64,17:19,17:15,21.5,NaN,-23.3,NaN,19.1,19.1,NaN,
3/3/2019,overcast,15,11.62,8.15,12.69,8.95,14:36,14:35,20.9,-10.9,-24.5,NaN,31.8,33.1,NaN,Overcast so NaN to exclude data
3/4/2019,clear sky,23,7.56,8.44,7.36,5.52,14:01,13:55,15.11,NaN,-31.3,NaN,30.3,34.8,NaN,
3/5/2019,clear sky,35,7.62,6.31,5.41,5.23,10:38,10:35,12.5,NaN,-33.7,NaN,22.5,23.4,NaN,
3/6/2019,clear sky,19,5.13,9.96,11.26,8.86,11:45,11:35,16.9,NaN,-27.8,NaN,26.8,29.4,NaN,
3/7/2019,overcast,22,7.37,5.36,12.1,10.74,9:27,9:15,14.6,NaN,-16.4,NaN,14.5,13.9,NaN,Overcast so NaN to exclude data
3/8/2019,overcast,10,6.47,NaN,9.4,16.65,12:39,12:35,20.1,NaN,-12.4,NaN,22.5,22.9,NaN,Overcast so NaN to exclude data
3/9/2019,clear sky,18,5.45,4.67,3.2,6.41,13:10,12:55,13,NaN,-36.3,NaN,29.3,30.4,NaN,
3/10/2019,clear sky,26,4.72,8.15,14.01,19.56,11:03,10:55,8.2,-16.7,-11.2,NaN,12.8,11.1,NaN,Dead battery on FLIR
3/11/2019,overcast,47,12.11,14.84,17.01,17.88,12:38,12:35,14.9,-2.2,-10.4,NaN,26.6,28.8,NaN,Overcast so NaN to exclude data
3/12/2019,overcast,73,14.48,19.07,19.14,18.68,9:20,9:15,11.6,-17.6,-16.2,NaN,14,12.4,NaN,Overcast so NaN to exclude data
3/13/2019,clear sky,37,8.87,5.76,9.65,8.16,10:25,10:15,9.2,NaN,-37.9,NaN,6.9,6.2,NaN,
3/14/2019,clear sky,32,6.1,5.71,5.47,2.99,11:55,11:55,7.2,NaN,-41.9,NaN,20.4,21.1,NaN,
3/15/2019,clear sky,26,5.03,4.66,6.76,8.92,13:32,13:35,10,NaN,-37.2,NaN,27.6,28.3,NaN,
3/16/2019,clear sky,32,6.68,7.1,12.54,14.22,11:29,11:35,8.8,NaN,-29.4,NaN,21,22.2,NaN,
