Date,Vicki time,NWS time,Conditions,RH,NWS temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (S_no),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (G_no),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
7/6/2019,18:22,18:15,overcast,39.0,25.0,23.04,26.1,29.15,28.61,-2.2,-3.8,6.8,7.8,33.1,33.4,33.9,34.3,
7/7/2019,16:06,16:15,clear sky,26.0,29.28,30.21,27.7,36.67,26.94,NaN,-19,-2.3,-1,40.9,41.3,42,42.8,
7/8/2019,10:26,10:35,clear sky,45.0,24.11,25.52,9.58,28.92,19.79,NaN,-34.7,-8.8,-8.3,38.1,38,40.7,40.8,
7/9/2019,11:43,11:55,clear sky,10.0,31.5,7.9,7.76,17.28,17.22,NaN,NaN,-13.7,-11.9,43.4,43.6,47.4,48,
7/10/2019,15:21,15:15,clear sky,7.0,37.39,9.3,12.22,19.57,19.67,NaN,-36.3,-6.8,-4.9,53.9,54.9,57.5,57.9,
7/11/2019,10:14,10:15,clear sky,32.0,29.28,17.44,16.91,21.26,26.96,NaN,-23.7,-3.9,-1.9,41.9,42.7,44.5,44.6,
7/12/2019,14:22,14:15,clear sky,14.0,33.61,20.47,19.94,25.01,28.09,NaN,-33.6,-9.8,-8.2,36.4,37.2,38.7,38.5,
7/13/2019,19:53,19:55,overcast,15.0,33.0,23.82,22.47,23.39,21.83,-6.2,-10.8,11.1,10.3,37.7,38.5,39.3,39.6,
7/14/2019,16:36,16:35,overcast,13.0,36.11,25.05,20.38,29.55,23.27,-19.6,-16,1,2.4,41.2,41.7,43,43.7,
7/15/2019,10:22,10:15,clear sky,26.0,29.39,26.47,27.0,24.73,22.89,NaN,-26.6,-4.2,-1.9,43,43.6,46.1,47.2,
7/16/2019,8:58,08:55,clear sky,36.0,26.22,25.44,27.28,23.73,25.59,NaN,-24.5,-5.3,-4.4,33.1,33.7,35.4,35.2,
7/17/2019,10:04,09:55,clear sky,31.0,28.61,28.39,22.85,32.25,32.6,NaN,-21.3,-4.2,-2.9,36.8,37.3,39.2,39.3,
7/18/2019,10:10,10:15,clear sky,24.0,31.11,18.0,13.46,36.72,31.38,NaN,-29.7,-6,-3.4,40.9,41.1,43.4,44.2,
7/19/2019,10:39,10:35,clear sky,19.0,30.89,17.62,16.4,32.45,21.44,NaN,-30.5,-5.3,-3.5,40.9,41.5,44.7,45.5,
7/20/2019,10:20,10:15,clear sky,21.0,30.28,19.47,20.17,30.52,23.7,NaN,-29,-3.3,-2.9,42.7,42.5,45.3,45.7,
7/21/2019,19:09,19:15,overcast,28.0,28.11,23.88,20.57,25.73,22.19,8,7.2,14.4,14.9,37.3,37.7,38.4,38.6,
7/22/2019,8:48,08:55,clear sky,37.0,25.72,25.21,23.4,32.62,30.17,NaN,-15.9,-2.3,-3,38.7,35.9,36.2,36.9,
7/23/2019,10:03,09:55,clear sky,50.0,24.72,29.07,26.72,41.21,32.35,NaN,-18.5,18.9,19.3,39.7,40,41.5,41.3,
7/24/2019,15:39,15:35,clear sky,18.0,33.39,27.35,23.8,29.56,26.62,NaN,-25.6,-3.3,-1.9,52.5,52.7,54.9,54.8,
7/25/2019,10:20,10:15,clear sky,30.0,27.89,25.69,26.8,3.51,20.17,NaN,-23.9,-2.9,-1.6,41.9,41.2,44.2,44.4,talked with Frank at the EPZ NWS office about 12Z reading anomaly
7/26/2019,10:23,10:15,overcast,35.0,28.0,30.21,27.3,20.51,25.92,-10.5,-10.2,6.8,8.1,39.3,41.9,41.2,43.3,
7/27/2019,9:29,09:35,clear sky,39.0,26.61,29.86,25.71,29.06,27.13,NaN,-22.5,-4.6,-3.1,36.4,37.1,38.3,38.7,
7/28/2019,9:34,09:35,overcast,48.0,25.5,28.7,18.43,33.48,29.64,4.2,-6,4.4,3.7,36.4,37.5,37.2,37.1,
7/29/2019,10:19,10:15,clear sky,36.0,27.5,24.58,19.08,32.37,31.61,NaN,-22.6,-2,-1.9,41.2,41.8,43.7,43.6,
7/30/2019,10:39,10:35,clear sky,31.0,29.0,22.7,22.36,33.7,25.93,NaN,-22.3,-2.4,-3,41.5,43.6,44.5,44.3,
7/31/2019,10:53,10:55,clear sky,26.0,31.0,21.88,19.6,33.14,27.15,NaN,-25.5,-1.5,-1.6,43.4,43.6,46.5,46.7,
8/1/2019,9:54,09:55,clear sky,33.0,27.89,24.41,24.5,35.98,31.13,NaN,-22.7,-3.3,-1.9,39.3,38.8,41.2,41.9,
8/2/2019,10:18,10:15,clear sky,30.0,28.78,28.12,27.33,29.61,24.89,NaN,-20.7,-2.1,-0.9,40.5,40.8,42.2,42.9,
8/3/2019,11:04,10:55,clear sky,33.0,29.39,28.78,24.96,31.57,29.91,NaN,-21.4,-0.3,-0.2,43.7,46.1,47.8,48.2,
8/4/2019,10:48,10:55,clear sky,48.0,26.22,28.59,27.94,37.8,32.31,NaN,-17.6,-1.8,-0.4,40.9,40.1,43.2,43.6,
8/5/2019,10:14,10:15,clear sky,40.0,27.89,31.44,24.37,35.47,29.21,NaN,-17.8,-1.1,-0.5,39.7,40.1,42.2,41.7,
8/6/2019,18:48,18:55,overcast,28.0,29.61,31.88,32.0,33.9,30.64,2.8,2.6,7.3,6.5,32.3,32.6,33.1,33.2,
8/7/2019,11:02,10:55,overcast,34.0,28.61,30.96,27.91,31.92,35.98,-10.5,-13.7,4.4,5,40.5,41.3,43.8,44.1,
8/8/2019,11:13,11:55,overcast,nan,nan,30.25,24.56,40.52,31.11,-16,-12.4,2.2,3.1,41.9,43.1,44.7,44.6,no nws readins between 9:55 and 12:15 on this day at Socorro Airport
8/9/2019,15:18,15:15,clear sky,20.0,34.28,28.56,27.9,37.82,29.95,NaN,-17.3,3.2,3.1,48.9,49.8,52.1,51.9,
8/10/2019,10:10,10:15,clear sky,56.0,23.72,32.68,28.19,34.81,31.87,NaN,-24.9,-0.9,-2.1,31.9,31.9,34,34.8,
8/11/2019,18:33,18:35,overcast,37.0,26.89,29.37,31.35,35.18,29.86,15.7,14.6,14.9,15.6,36.8,36.8,36.5,37.1,
8/12/2019,9:04,08:55,clear sky,56.0,23.22,26.35,18.99,29.49,27.81,NaN,-30.9,-7.3,-8.8,29.9,29.5,32.8,31.7,
8/13/2019,11:05,11:15,clear sky,22.0,30.11,18.15,16.89,28.72,26.75,NaN,-31.9,-6.4,-5.2,41.5,41.9,44.4,44.6,
8/14/2019,9:31,09:35,clear sky,29.0,28.0,21.5,26.39,29.78,24.02,NaN,-24.1,-4.5,-1.9,35.1,35.7,36.9,38.4,
8/15/2019,10:59,10:55,clear sky,37.0,25.5,20.28,17.16,29.12,30.0,NaN,-30.9,-6.6,-3.9,40.1,40,42.1,44.3,
8/16/2019,10:09,10:15,clear sky,29.0,26.72,17.57,16.84,28.92,22.85,NaN,-36.3,-8.5,-8.3,34.7,34.5,38.3,38.5,
8/17/2019,19:32,19:35,overcast,23.0,29.39,14.08,11.36,21.69,25.52,6.7,7.6,10.9,11.1,34.3,34.8,35,35.3,
8/18/2019,8:39,08:35,clear sky,23.0,25.28,12.17,11.69,20.69,21.18,NaN,-38.7,-12.6,-10.5,28.5,27.6,30.1,30.8,
8/19/2019,10:22,10:15,clear sky,14.0,29.72,15.37,16.25,26.41,27.38,NaN,-34.4,-8.2,-8.1,38.9,39,41.4,40.8,
8/20/2019,10:38,10:35,clear sky,26.0,30.5,21.12,21.24,32.43,24.29,NaN,-25.3,-2.5,-1.2,40.9,41.7,43.5,44.3,
8/21/2019,10:09,10:15,clear sky,32.0,28.28,22.09,22.28,29.8,26.83,NaN,-26.8,-4.4,-3.1,35.9,36.3,39.1,39.4,
8/22/2019,10:39,10:35,clear sky,42.0,25.28,22.59,19.04,31.77,28.51,NaN,-29.4,-7,-5.9,36.8,37.3,39.2,39.7,
8/23/2019,9:59,09:55,clear sky,43.0,24.89,19.72,17.17,34.21,33.13,NaN,-29.9,-8.6,-7.7,35.5,35.9,37.5,37.8,
8/24/2019,19:19,19:15,clear sky,17.0,32.61,15.1,14.39,32.83,25.54,NaN,-31.2,-5.2,-4.6,35.5,35.6,36.8,37.2,
8/25/2019,8:52,08:55,clear sky,26.0,28.0,12.78,14.25,27.79,21.76,NaN,-34.7,-8.8,-8.2,29.5,29,31.6,31.9,
8/26/2019,10:09,10:15,clear sky,21.0,31.39,12.7,16.25,25.37,21.22,NaN,-31.5,-5.3,-3.2,39.3,39.4,42.2,42.9,
8/27/2019,10:36,10:35,clear sky,37.0,28.5,21.81,26.22,22.87,25.32,NaN,-21.1,-2.6,-2.2,39.7,41.2,41.8,41.9,
8/28/2019,10:06,10:15,clear sky,40.0,27.89,23.47,19.38,29.68,25.62,NaN,-25.4,-3.2,-2.5,37.3,37.1,39.5,40,
8/29/2019,10:52,10:55,clear sky,29.0,28.22,18.36,17.38,31.98,31.06,NaN,-26.6,-5.1,-4.7,40.5,40.1,43,42.8,
8/30/2019,10:47,10:55,clear sky,38.0,26.61,19.93,17.32,34.39,27.65,NaN,-29.5,-6.4,-5.5,39.7,40.3,41.9,42.7,
8/31/2019,19:24,19:15,overcast,22.0,31.0,22.25,13.83,28.84,23.6,0.4,-2.2,11.5,11.6,35.9,36.2,37.5,37.4,
9/1/2019,11:00,10:55,clear sky,24.0,30.0,21.62,21.66,27.44,25.27,NaN,-27.9,-3.2,-3.7,41.6,41.7,44.7,43.9,
9/2/2019,19:33,19:35,clear sky,16.0,31.11,20.72,17.57,28.17,25.19,NaN,-28.2,-6.1,-5,33.9,34.2,34.7,35.2,
9/3/2019,10:10,10:15,clear sky,26.0,27.39,23.0,NaN,23.61,19.78,NaN,-30.7,-8.4,-7.8,36.4,36.1,38.2,38.3,ABQ 9
9/4/2019,11:03,10:55,clear sky,23.0,29.28,19.57,15.77,18.5,19.99,NaN,-30.9,-6.4,-5.3,41.5,40.6,44.1,44.8,
9/5/2019,10:30,10:35,clear sky,26.0,28.0,15.49,16.88,27.28,30.03,NaN,-30.9,-7.1,-6.5,36.8,36.5,38.6,39.3,
9/6/2019,10:10,10:15,clear sky,30.0,26.5,18.39,19.5,29.54,23.47,NaN,-33.8,-8.9,-7.8,34.7,34.5,37.1,37.4,
9/7/2019,10:19,10:15,clear sky,34.0,27.28,21.61,23.54,29.83,24.68,NaN,-27,-3.2,-2.9,36.8,36.7,39.9,39.8,
9/8/2019,9:53,09:55,overcast,50.0,22.28,26.57,24.58,32.04,27.63,8.9,7,12.9,13.5,28,27.4,28.3,28.7,
9/9/2019,10:50,10:55,clear sky,43.0,25.39,18.89,13.47,37.7,27.58,NaN,-27.8,-5.2,-6.3,37.3,36.7,39.7,39.7,
9/10/2019,10:34,10:35,clear sky,49.0,24.5,20.98,24.88,33.06,29.82,NaN,-25.4,-4.7,-4,36.4,36.6,38.6,38.8,
9/11/2019,10:15,10:15,clear sky,47.0,24.39,26.51,18.36,33.32,26.7,NaN,-26.5,-5.1,-4.9,34.7,34.8,37,37.5,
9/12/2019,10:54,10:55,clear sky,18.0,25.72,14.2,9.06,27.61,24.32,NaN,NaN,-15.7,-14.2,37.3,39.5,38.9,39.4,
9/13/2019,10:35,10:35,clear sky,41.0,24.5,14.87,15.56,29.27,32.18,NaN,-30.7,-7.3,-7.6,35.9,36.9,39,38.2,
9/14/2019,11:00,10:55,clear sky,40.0,26.22,25.68,23.95,35.88,30.93,NaN,-21,-3.5,-2.3,36.4,36.5,38.7,39.3,
9/15/2019,9:40,09:35,overcast,85.0,17.5,27.92,26.88,39.05,36.34,7.8,5.5,10.3,11.1,24.5,23.8,23.3,24.1,it was raining while measurements were taken
9/16/2019,10:38,10:35,clear sky,61.0,22.22,26.83,20.84,34.08,32.78,NaN,-31.5,-9.8,-8.8,32.3,32.7,34,34.3,
9/17/2019,9:13,09:15,clear sky,77.0,18.78,26.23,17.16,32.68,24.3,NaN,-34.3,-13,-11.6,27.2,26.5,28.6,29,
9/18/2019,10:14,10:15,clear sky,32.0,24.89,18.23,13.18,21.12,19.55,NaN,-36.5,-11.4,-10.8,32.2,32.4,34.7,34.6,
9/19/2019,10:42,10:35,clear sky,30.0,24.11,16.49,17.94,27.42,27.61,NaN,-36.6,-12.3,-11.5,34.7,35.4,36.7,37.6,
9/20/2019,17:08,17:15,clear sky,12.0,30.61,17.56,11.44,29.65,16.96,NaN,NaN,-12.9,-12.3,33.5,33.6,24.8,35.1,
9/21/2019,16:47,16:55,clear sky,21.0,29.11,11.8,16.97,25.9,34.68,NaN,-32,-7.8,-6.8,35.1,35.2,36.4,36.7,
9/22/2019,17:31,17:35,clear sky,13.0,27.5,6.19,5.07,31.32,27.9,NaN,NaN,-18.6,-17.4,31.1,31.4,32,32.3,ABQ sounding was incomplete hence the n
9/23/2019,10:04,09:55,clear sky,31.0,19.78,12.72,20.42,30.12,26.76,NaN,-39.1,-15.1,-13.9,27.6,27.8,30.2,30.1,
9/24/2019,11:09,11:15,overcast,47.0,20.11,19.23,14.35,29.86,23.44,-10.5,-12.6,0.8,0.9,29.9,29.7,31,31.1,
9/25/2019,10:18,10:15,clear sky,44.0,20.89,21.65,16.69,25.6,25.97,NaN,-36.5,-12.5,-12.5,30.7,30.5,32.7,32.8,
9/26/2019,11:07,11:15,clear sky,31.0,25.0,14.52,17.86,23.93,20.14,NaN,-35.8,-11.5,-10.9,36.3,36.5,38.3,38.2,
9/27/2019,10:01,09:55,clear sky,39.0,21.22,16.46,18.7,23.46,23.59,NaN,NaN,-16.5,-15,29.9,30.9,31.1,31.8,
9/28/2019,10:50,10:55,clear sky,41.0,21.5,15.94,12.64,16.86,15.07,NaN,-38.6,-13.9,-12,31.9,32,34,35.3,
9/29/2019,11:27,11:35,clear sky,34.0,24.72,14.55,13.84,16.06,14.43,NaN,-36.7,-13.9,-15.5,34.3,35.2,36,34.4,
9/30/2019,11:11,11:15,clear sky,26.0,25.72,10.66,15.68,30.71,41.28,NaN,-36.3,-14.9,-13.8,35.5,35.7,35.5,36.2,
10/1/2019,12:07,12:15,overcast,47.0,24.0,22.27,14.29,40.53,25.1,2.8,0.4,9.8,11.4,29.9,29.3,30.7,31.4,
10/2/2019,10:02,09:55,clear sky,36.0,20.11,7.91,7.16,28.61,28.39,NaN,NaN,-22.2,-21,28,27.7,28.9,29.5,
10/3/2019,10:57,10:55,overcast,23.0,19.5,11.6,18.65,36.19,36.83,5.5,2.8,9.5,10.2,27.6,27.3,28.3,28.7,
10/4/2019,10:11,10:15,overcast,87.0,17.5,30.75,17.5,39.68,32.91,11.2,12.4,13.8,16.2,22.5,21.6,21.8,22.5,
10/5/2019,9:54,09:55,clear sky,59.0,18.0,13.3,10.28,28.7,15.85,NaN,NaN,-21.3,-18.7,23.5,22.4,25.1,25.6,
10/6/2019,11:52,11:55,clear sky,20.0,23.61,6.72,6.51,14.05,13.11,NaN,NaN,-19.4,-19.5,34.3,34.9,36.8,36.6,
10/7/2019,10:46,10:55,clear sky,40.0,16.5,10.23,11.77,17.15,19.68,NaN,NaN,-20.5,-19.3,27.6,28,29.1,29.6,
10/8/2019,10:35,10:35,overcast,46.0,19.61,16.82,17.4,28.4,28.33,4.4,2.4,9,9.3,25.5,24.6,25.1,25.6,
10/9/2019,10:42,10:35,clear sky,66.0,18.78,13.08,8.79,16.58,11.56,NaN,NaN,-17.4,-15.9,27.6,27.5,29.6,29.3,
10/10/2019,10:55,10:55,clear sky,22.0,22.5,9.2,5.86,10.24,10.25,NaN,NaN,-21.4,-18,28.5,28.6,30.7,31.7,
10/11/2019,11:23,11:15,clear sky,11.0,11.0,1.31,1.79,9.26,11.49,NaN,NaN,-47.7,-46.5,24,23.1,23.9,24,
10/12/2019,18:20,18:15,overcast,25.0,20.11,5.01,11.63,15.79,11.52,0.4,-0.5,3.1,3,20.4,20.4,20.7,21.3,
10/13/2019,18:31,18:35,clear sky,22.0,21.61,8.29,7.46,15.21,11.61,NaN,NaN,-18.8,-17.9,21.5,21.1,21.6,22.2,
10/14/2019,15:11,15:15,clear sky,24.0,24.72,8.89,9.54,23.27,27.86,NaN,NaN,-16.6,-14.9,34.7,35.6,36.9,37.1,
10/15/2019,8:55,08:55,clear sky,33.0,14.28,8.18,4.46,27.16,13.08,NaN,NaN,-27.2,-25,16.2,14.7,16.3,17,
10/16/2019,11:45,11:55,clear sky,20.0,18.5,4.96,4.0,12.33,7.79,NaN,NaN,-27.3,-25.4,28.5,28.6,29.9,30.8,
10/17/2019,16:15,16:15,clear sky,22.0,24.89,4.95,7.8,9.84,13.29,NaN,NaN,-16.2,-14.7,32.7,33.1,34.1,34.4,
10/18/2019,18:10,18:15,clear sky,15.0,20.28,12.42,8.57,18.81,17.27,NaN,NaN,-26.2,-24.6,19.1,17.9,18.1,18.6,
10/19/2019,16:45,16:55,clear sky,12.0,22.22,4.57,4.58,11.36,11.71,NaN,NaN,-27.1,-25.2,29.9,29.3,30.3,30.3,
10/20/2019,10:52,10:55,clear sky,11.0,20.0,8.0,2.93,11.05,NaN,NaN,NaN,-27.6,-27.2,24,23.5,25.6,25.3,there is no radiosonde data for EPZ 00Z for 10-21
10/21/2019,10:18,10:15,clear sky,16.0,9.72,4.16,4.65,4.91,6.44,NaN,NaN,-36.9,-35.7,17.8,16.9,18.3,18.6,
10/22/2019,11:12,11:15,clear sky,15.0,15.61,6.25,7.11,6.93,6.15,NaN,NaN,-31.1,-29.8,23,23.4,23.9,24.7,
10/23/2019,10:54,10:55,clear sky,23.0,16.11,8.85,4.36,6.89,7.12,NaN,NaN,-28.7,-26.3,22,21.3,22.7,22.9,
10/24/2019,17:16,17:15,clear sky,28.0,10.72,7.02,5.68,9.55,8.73,NaN,NaN,-37.6,-36.1,16.8,14.5,14.2,14.8,
10/25/2019,10:57,10:55,clear sky,43.0,6.61,4.63,4.94,5.97,5.24,NaN,NaN,-42.1,-35.6,16.2,17.5,17.4,18,
10/26/2019,17:26,17:35,clear sky,13.0,20.11,4.6,5.96,4.38,4.08,NaN,NaN,-28.7,-26.1,17.8,17,17.3,18.1,
10/27/2019,12:44,12:35,clear sky,12.0,21.11,4.97,5.98,7.05,6.3,NaN,NaN,-25.5,-25.1,27.6,27.4,29.9,30.2,
10/28/2019,11:32,11:35,clear sky,15.0,19.22,9.69,3.6,10.25,6.25,NaN,NaN,-27.5,-27.3,25.4,25.1,27.2,27.3,
10/29/2019,10:57,10:55,clear sky,32.0,5.89,3.74,5.05,7.0,7.46,NaN,NaN,-39.8,-37.4,16.6,14.7,15.8,16.6,
10/30/2019,12:22,12:15,clear sky,11.0,6.11,3.85,1.41,6.46,1.75,NaN,NaN,NaN,NaN,18.3,18.8,18.9,19.6,It was so cold that all thermometers were out of their limits for air temperature readings
10/31/2019,14:08,14:15,clear sky,9.0,8.5,1.2,1.56,1.29,4.48,NaN,NaN,NaN,-59.8,21,23.5,20.1,21.2,
11/1/2019,10:08,10:15,clear sky,12.0,3.11,1.88,2.8,4.92,2.88,NaN,NaN,-49.7,-48.9,7.8,6.2,6.3,6.4,
11/2/2019,15:29,15:35,clear sky,18.0,14.78,4.57,4.88,5.83,10.15,NaN,NaN,-33.5,-31.6,22,21.4,26.2,26.4,
11/3/2019,12:17,12:15,clear sky,15.0,15.5,4.51,5.05,11.87,15.09,NaN,NaN,-24.4,-23.3,24.5,23.8,25.5,26.7,
11/4/2019,16:49,16:55,clear sky,14.0,21.0,4.65,4.72,12.35,10.78,NaN,NaN,-25.6,-23.9,17,16.3,16.9,17.1,
11/5/2019,10:28,10:35,clear sky,14.0,14.5,4.45,6.9,16.52,18.95,NaN,NaN,-30,-28.2,19.9,19.5,21.5,21.7,
11/6/2019,10:02,09:55,overcast,28.0,10.72,10.3,16.27,22.09,26.7,-4.2,-4.9,-0.9,0.5,15.2,13.6,13.1,14,
11/7/2019,10:48,10:55,overcast,68.0,9.78,15.06,11.94,21.18,17.41,-10.5,-14.1,-6,-5.6,16.2,14.2,14.7,15.2,
11/8/2019,10:08,10:15,overcast,85.0,5.89,8.21,4.54,13.96,11.38,-5.6,-6.9,-1,0.6,13.4,10.7,11.1,11.8,
11/9/2019,16:04,15:55,clear sky,17.0,17.22,4.11,2.2,19.96,20.12,NaN,NaN,-23,-21.5,16.2,14.8,15.6,16,
11/10/2019,12:28,12:35,clear sky,30.0,16.72,8.93,8.24,21.18,22.42,NaN,NaN,-25.3,-24.6,22.5,22.2,22.7,22.8,
11/11/2019,10:05,10:15,clear sky,27.0,14.5,5.54,7.72,24.23,21.05,NaN,NaN,-24.4,-24.6,17.8,17.2,17.3,17.8,
11/12/2019,11:25,11:35,clear sky,40.0,5.0,5.56,4.37,14.18,10.51,NaN,NaN,-38.9,-36.4,17.4,17,17.4,18.4,readings taken by Brandon Phelps for training to cover during PhysCon conference
11/13/2019,10:00,09:55,clear sky,52.0,4.39,6.38,7.2,12.43,8.31,NaN,NaN,-37.8,-33.5,12.2,NaN,11.2,13.6,readings taken by Brandon Phelps and Chris Baca as Vicki was at PhysCon they forgot to open FLiR lens cover
11/14/2019,11:00,10:55,clear sky,23.0,13.22,6.55,5.82,9.05,7.23,NaN,NaN,-33.4,-30.6,22.5,NaN,23.2,24.1,readings taken by Brandon Phelps and Chris Baca as Vicki was at PhysCon they forgot to open FLiR lens cover
11/15/2019,10:00,09:55,clear sky,37.0,9.11,8.29,7.99,7.25,7.81,NaN,NaN,-29.9,-28.4,15.2,NaN,14.5,14.6,readings taken by Brandon Phelps and Chris Baca as Vicki was at PhysCon they forgot to open FLiR lens cover
11/16/2019,10:50,10:55,clear sky,33.0,10.61,7.92,7.86,8.4,9.63,NaN,-32.8,-30,-20.9,16.6,16.8,15.5,17.4,readings taken by Brandon Phelps and Chris Baca as Vicki was at PhysCon
11/17/2019,10:58,10:55,clear sky,23.0,14.28,3.76,5.59,9.1,6.98,NaN,NaN,-35.7,-33.8,18.3,17.4,18,18.8,readings taken by Brandon Phelps and Chris Baca as Vicki was at PhysCon
11/18/2019,12:27,12:35,clear sky,15.0,18.78,7.57,6.45,6.91,7.24,NaN,NaN,-28.5,-27.4,23.5,22.4,24.3,24.3,
11/20/2019,10:30,10:35,overcast,61.0,14.0,21.23,15.42,25.15,14.06,1,0.2,3.8,4.6,15.2,12.8,13.4,14.6,very windy and sprinkling during measurement
11/21/2019,12:22,12:15,overcast,96.0,3.11,14.89,9.5,13.33,17.81,-19.7,-16.2,-15,-14.7,10.8,10.2,9.5,9.8,
11/22/2019,10:19,10:15,clear sky,85.0,5.5,9.86,7.81,11.47,10.48,NaN,NaN,-34,-33.5,13.9,12.5,12.9,12.8,
11/23/2019,16:49,16:55,clear sky,53.0,9.11,7.17,5.38,6.85,8.19,NaN,NaN,-30.9,-29.7,10.4,8.9,9,9.6,
11/24/2019,9:40,09:35,clear sky,67.0,5.22,5.35,4.75,8.94,6.54,NaN,NaN,-24.8,-25,7.8,7.1,6.9,6.8,
11/25/2019,10:05,10:15,clear sky,66.0,4.11,3.62,5.41,13.56,15.59,NaN,NaN,-35.5,-34.7,7.8,7.6,6.8,7.3,
11/26/2019,14:01,13:55,clear sky,13.0,6.11,5.36,3.33,10.19,7.16,NaN,NaN,NaN,-49.9,14.8,14,14.6,14.7,
11/27/2019,10:41,10:35,overcast,51.0,-0.39,4.65,10.12,8.43,23.54,-4.7,-4.1,-4.3,-3.9,3.5,3.5,2.2,3.5,
11/28/2019,15:12,15:15,overcast,96.0,0.5,14.09,12.37,22.09,21.3,0.4,-2.7,-2.2,-2.4,1.6,-1.4,-1.5,1,snowed
11/29/2019,14:46,14:55,overcast,83.0,6.78,15.5,7.82,17.98,16.4,NaN,NaN,-3.4,-2.6,10.4,8.1,7.5,8.5,cloud cover moving too fast that first half of the readings were in clear sky and second half in overcast.  Could not do readings fast enough to get all of the same kind in additional attempts so kept the first readings
11/30/2019,12:20,12:15,clear sky,37.0,5.61,4.32,3.83,10.89,6.69,NaN,NaN,-39.4,-36.1,13.4,10.5,12.3,13.2,very windy
12/1/2019,12:20,12:15,clear sky,39.0,5.22,6.03,7.67,5.15,4.37,NaN,NaN,-39.4,-36.1,13.4,10.5,12.3,13.2,very windy
12/2/2019,10:03,09:55,clear sky,59.0,3.0,6.09,6.23,6.16,6.92,NaN,NaN,-35.9,-40.8,6,4.5,4.5,2.1,very cold wind
12/3/2019,11:35,11:35,clear sky,48.0,9.22,7.85,7.69,8.12,9.97,NaN,NaN,-34.4,-32.3,15.2,11.9,14,14.7,very windy
12/4/2019,10:04,09:55,overcast,67.0,7.11,15.41,13.94,12.58,15.2,-5.6,-6.7,-2.5,-1.6,8.9,7,6.6,7.1,
12/5/2019,9:12,09:15,overcast,71.0,8.0,13.29,7.84,17.36,9.04,-2.2,-6.3,-5.2,-4,8.4,7.1,8.6,8.2,fast moving cloud cover
12/6/2019,10:27,10:35,clear sky,59.0,7.5,6.66,7.59,7.71,10.34,NaN,NaN,-33.3,-33.7,10.4,9.2,10.1,9.6,
12/7/2019,14:22,14:15,clear sky,40.0,13.28,9.22,9.65,16.04,14.74,NaN,NaN,-23.6,-23,17.4,17.1,17.2,18.1,
12/8/2019,12:10,12:15,overcast,75.0,10.61,17.02,12.71,18.25,23.16,2.8,-0.1,3.1,2.2,12.2,10.7,10.6,10.9,
12/9/2019,16:34,16:35,clear sky,67.0,8.78,8.09,8.03,21.3,11.86,NaN,NaN,-31.9,-29.6,8.4,6.3,6.7,7.2,
12/10/2019,16:32,16:35,clear sky,38.0,10.0,4.13,4.51,13.65,8.37,NaN,NaN,-36.7,-34.2,8.4,6.9,6.5,7.2,
12/11/2019,14:09,14:15,clear sky,60.0,8.89,4.06,5.37,6.16,5.76,NaN,NaN,-28,-26.7,10.4,9.5,9.1,9.4,
12/12/2019,16:04,15:55,clear sky,41.0,12.0,6.08,7.8,6.83,9.61,NaN,NaN,-31.4,-29.5,9.9,8,8.3,9.4,
12/13/2019,14:42,14:35,clear sky,20.0,19.28,9.36,10.2,9.57,12.03,NaN,NaN,-25.4,-23.9,18.7,18.3,19.3,19.7,
12/14/2019,15:27,15:35,clear sky,25.0,19.22,12.39,9.67,9.31,10.65,NaN,NaN,-23.4,-22.4,17.8,16.9,18,18.4,
12/15/2019,11:27,11:35,clear sky,14.0,17.39,9.95,5.23,11.75,6.68,NaN,NaN,-33.2,-32,17.4,17.7,18.3,18.7,
12/16/2019,14:50,14:55,clear sky,21.0,6.89,3.74,1.91,8.41,4.68,NaN,NaN,-31.2,-29.2,15.7,16.3,14.1,14.7,
12/17/2019,15:16,15:15,clear sky,25.0,4.0,3.24,2.87,3.02,2.28,NaN,NaN,NaN,-48.2,8,7.6,7.2,7.9,
12/18/2019,15:50,15:55,clear sky,20.0,5.5,2.44,1.72,2.02,2.51,NaN,NaN,NaN,-48.6,4.6,4.1,3.4,4.2,
12/19/2019,13:24,13:15,clear sky,28.0,3.11,2.41,3.88,5.75,4.91,NaN,NaN,-44.3,-41.8,7.6,7.3,7.7,8.9,
12/20/2019,11:59,11:55,clear sky,29.0,5.5,3.85,2.85,4.3,2.92,NaN,NaN,-46.4,-45.2,8.5,9.2,8.7,8.6,
12/21/2019,14:49,14:55,clear sky,24.0,9.78,4.63,3.07,3.04,2.87,NaN,NaN,-39.6,-37.6,11.4,11.4,11.8,12.4,
12/22/2019,12:58,12:55,clear sky,29.0,8.0,3.65,3.48,3.24,2.53,NaN,NaN,-25.8,-24.9,10.2,9.8,10.2,11.1,
12/23/2019,12:16,12:15,overcast,33.0,6.0,1.82,4.71,3.06,5.88,NaN,-32.7,-23.2,-19.7,6.9,6.6,5.9,6.4,
12/24/2019,16:29,16:35,overcast,91.0,3.61,10.8,13.25,14.27,17.83,-11,-13.2,-9.2,-6.4,5.5,4.3,2.4,3.7,was raining during the measurement
