Date,Vicki time,NWS time,Conditions,RH,NWS temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (S_no),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (G_no),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
3/17/2019,11:20,11:15,clear sky,51.0,8.28,6.66,4.7,9.66,9.33,NaN,NaN,-35.7,NaN,21,20.1,21.8,NaN,
3/18/2019,11:43,11:35,clear sky,32.0,12.89,7.38,6.12,11.43,9.96,NaN,NaN,-30.6,NaN,25.5,25.3,27.3,NaN,
3/19/2019,10:47,10:55,overcast,38.0,12.11,9.75,11.9,7.81,7.83,-18.7,-19.3,-14.7,NaN,20.4,19.4,19.6,NaN,Overcast so NaN to exclude data
3/20/2019,11:02,10:55,clear sky,49.0,11.28,10.98,8.76,10.16,12.76,NaN,NaN,-30.5,NaN,23.5,23.3,24.8,NaN,
3/21/2019,11:00,10:55,overcast,61.0,10.39,10.84,11.03,18.54,11.91,1.9,-2.3,2.2,NaN,16.4,15.2,14.7,NaN,Overcast so NaN to exclude data
3/22/2019,12:15,12:15,clear sky,21.0,15.72,10.26,4.37,6.88,6.54,NaN,NaN,-32.6,NaN,28,27.5,27.2,NaN,
3/23/2019,13:48,13:55,clear sky,21.0,17.0,6.04,7.54,6.73,6.91,NaN,NaN,-22.1,NaN,31.5,31.2,33.4,NaN,
3/24/2019,10:56,10:55,clear sky,23.0,15.0,7.19,6.58,6.09,5.31,NaN,-29.6,-22,NaN,20.4,19.7,19.2,NaN,
3/25/2019,10:48,10:55,clear sky,18.0,14.61,4.06,4.46,4.26,6.28,NaN,NaN,-36.1,NaN,24.5,24.1,25.5,NaN,
3/26/2019,10:49,10:55,clear sky,18.0,15.22,3.44,0.0,10.48,0.0,NaN,NaN,-23.8,NaN,23,22.8,24.2,NaN,
3/27/2019,12:35,12:35,clear sky,24.0,24.72,11.51,8.66,10.28,7.21,NaN,NaN,-15.1,NaN,34.7,34.9,36.7,NaN,
3/28/2019,9:57,09:55,clear sky,15.0,19.5,9.64,4.13,8.34,6.95,NaN,NaN,-26.5,NaN,29.5,29.8,31.2,NaN,
3/29/2019,10:57,10:55,clear sky,7.0,20.72,3.19,3.4,5.9,2.88,NaN,NaN,-38.1,NaN,30.7,31,32.5,NaN,
3/30/2019,10:32,10:35,clear sky,17.0,10.78,3.09,6.23,3.45,8.06,NaN,NaN,-37.8,NaN,22,21.7,22.4,NaN,
3/31/2019,10:25,10:35,overcast,41.0,6.28,8.3,9.47,10.39,7.95,NaN,-38.3,-23.4,NaN,17.4,15.7,16.1,NaN,Overcast so NaN to exclude data
4/1/2019,11:22,11:15,clear sky,63.0,7.61,6.07,6.84,6.81,5.24,NaN,NaN,-36.4,NaN,21.5,20.8,22.2,NaN,
4/2/2019,10:36,10:35,overcast,26.0,13.5,7.3,8.35,9.62,8.38,NaN,-30.5,-17.4,NaN,19.5,19.1,19.9,NaN,
4/3/2019,10:46,10:55,clear sky,15.0,19.28,8.14,8.54,7.96,8.02,NaN,NaN,-23.3,NaN,28.9,29.4,31.8,NaN,
4/4/2019,11:00,10:55,clear sky,28.0,15.28,6.82,7.96,7.99,6.78,NaN,NaN,-27.1,NaN,28,27.4,29.9,NaN,
4/5/2019,11:49,11:55,clear sky,14.0,19.5,6.53,8.34,9.62,11.57,NaN,NaN,-20.7,NaN,29.9,29.3,31.7,NaN,
4/6/2019,9:15,09:15,clear sky,31.0,13.0,8.98,8.78,8.81,10.98,NaN,NaN,-31.1,NaN,17.8,17.4,18.2,NaN,
4/7/2019,12:48,12:55,clear sky,18.0,22.39,9.04,6.8,12.22,8.32,NaN,NaN,-22.6,NaN,36.4,37.6,39.1,NaN,
4/8/2019,12:10,12:15,clear sky,13.0,24.0,6.51,7.37,11.77,8.21,NaN,NaN,-23.9,NaN,36.8,37.3,39.8,NaN,
4/9/2019,9:08,09:15,clear sky,24.0,15.89,9.18,5.71,8.71,7.82,NaN,NaN,-29.2,NaN,20.4,20.7,21.6,NaN,
4/10/2019,9:57,09:55,clear sky,15.0,19.78,7.21,3.84,5.39,2.99,NaN,NaN,-30.1,NaN,25.9,27.3,26.4,NaN,
4/11/2019,10:22,10:15,overcast,28.0,10.61,7.82,6.12,4.64,4.67,NaN,-31.8,-21.8,NaN,17.8,17.7,17,NaN,
4/12/2019,13:27,13:35,overcast,26.0,12.78,6.61,9.63,6.24,8.66,-8.6,-13.2,-3.3,NaN,25.5,24.8,25.5,NaN,
4/13/2019,9:13,09:15,overcast,59.0,7.5,8.83,8.04,10.15,9.3,-11.3,-4,-3.4,NaN,27.6,27,28.1,NaN,
4/14/2019,11:15,11:15,clear sky,30.0,14.11,5.46,5.24,1.42,6.32,NaN,NaN,-31.7,NaN,28,27.7,29.2,NaN,
4/15/2019,13:15,13:15,clear sky,11.0,25.0,4.28,4.54,7.02,6.45,NaN,NaN,-15.5,NaN,41.2,40.9,43.9,NaN,
4/16/2019,9:13,09:15,clear sky,22.0,16.28,9.56,8.34,10.37,8.82,NaN,NaN,-28.2,NaN,22.5,23.1,23.7,NaN,
4/17/2019,10:52,10:55,overcast,87.0,8.22,15.66,4.83,13.87,14.83,3.4,2.9,2.7,NaN,16.6,15.6,15.2,NaN,it was raining when measurements were taken
4/18/2019,9:22,09:15,clear sky,68.0,10.5,8.94,7.03,13.38,8.52,NaN,NaN,-28.6,NaN,17.4,16.5,17.5,NaN,
4/19/2019,10:30,10:35,clear sky,33.0,16.39,7.11,6.73,7.26,6.22,NaN,NaN,-27.5,NaN,27.2,27.8,28.8,NaN,measurements taken by Sooraj Bhatia as Vicki doing pilgrimage to Chimayo
4/20/2019,16:26,16:35,clear sky,7.0,29.5,6.26,8.14,7.2,9.72,NaN,NaN,-18.8,NaN,40.5,40.5,43.2,NaN,later measurements due to heat stroke
4/21/2019,10:45,10:55,clear sky,15.0,21.72,8.29,8.26,10.51,9.39,NaN,NaN,-24.9,NaN,33.9,33.8,35.9,NaN,
4/22/2019,10:50,10:55,overcast,23.0,17.72,8.01,12.63,13.36,20.49,NaN,-24.2,-18.7,NaN,25.9,25.2,26.2,NaN,
4/23/2019,9:22,09:15,clear sky,55.0,12.61,14.97,12.37,15.44,12.48,NaN,NaN,-24.7,NaN,23.5,23.5,24.5,NaN,
4/24/2019,11:21,11:15,clear sky,38.0,18.0,13.35,11.45,15.9,14.25,NaN,NaN,-22.2,NaN,33.1,32.9,34.2,NaN,
4/25/2019,8:55,08:55,clear sky,41.0,15.61,9.91,9.75,13.01,9.29,NaN,NaN,-24.8,NaN,20.4,20.4,21.8,NaN,
4/26/2019,11:20,11:15,clear sky,23.0,24.78,15.52,12.26,12.43,11.32,NaN,NaN,-14.7,NaN,38.1,37.9,40.4,NaN,
4/27/2019,10:54,10:55,clear sky,11.0,26.5,9.36,10.54,12.53,9.8,NaN,NaN,-21,NaN,37.3,37.7,39.3,NaN,
4/28/2019,10:31,10:35,clear sky,11.0,25.22,6.44,6.31,10.05,5.51,NaN,NaN,-21.4,NaN,35.1,34.9,38.2,NaN,
4/29/2019,10:50,10:55,clear sky,14.0,23.22,8.72,13.61,9.72,8.66,NaN,NaN,-22.2,NaN,33.1,32.7,35.2,NaN,
4/30/2019,10:50,10:55,clear sky,22.0,17.89,12.97,8.0,11.52,7.87,NaN,NaN,-22.3,NaN,35.9,35.6,37.8,NaN,
5/1/2019,11:10,11:15,clear sky,18.0,20.61,6.72,7.23,7.85,6.4,NaN,NaN,-24.4,NaN,35.9,36.1,38.3,NaN,
5/2/2019,10:23,10:15,clear sky,28.0,18.39,7.78,7.87,6.59,7.2,NaN,NaN,-25.9,NaN,32.7,33.2,34.7,NaN,
5/3/2019,11:10,11:15,clear sky,13.0,21.11,7.17,4.35,10.83,6.77,NaN,NaN,-25.7,NaN,36.3,36.5,37.6,NaN,
5/4/2019,10:24,10:15,clear sky,14.0,19.0,6.42,8.19,8.66,8.0,NaN,NaN,-28.8,NaN,32.3,32.8,34.1,NaN,
