Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
28:01:2019,12:00:00,28,-999.,0.017644,0.019303,-999.,-999.,0.025255,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.025555,-999.,-999.,0.032252,-999.,-999.,0.030729,0.028337,0.467144,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.670006,0.654170,0.525028,0.532462,-0.338264,-999.,0,48,48,0,0,48,0,0,0,0,0,0,0,0,48,0,0,48,0,0,48,48,48,0,0,0,0,0,0,0,48,48,48,48,39,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
30:01:2019,12:00:00,30,-999.,0.017815,0.020657,-999.,-999.,0.028590,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.032635,-999.,-999.,0.041689,-999.,-999.,0.041893,0.040624,0.280312,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.942020,0.883064,0.827820,0.827539,-0.099008,-999.,0,49,49,0,0,49,0,0,0,0,0,0,0,0,49,0,0,49,0,0,49,49,49,0,0,0,0,0,0,0,49,49,49,49,49,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
31:01:2019,12:00:00,31,-999.,0.016704,0.019006,-999.,-999.,0.027478,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.029816,-999.,-999.,0.037087,-999.,-999.,0.036733,0.036470,0.470979,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.887413,0.725419,0.657875,0.814397,-0.113562,-999.,0,47,47,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,47,44,47,0,0,0,0,0,0,0,47,47,47,47,47,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
01:02:2019,12:00:00,32,-999.,0.030517,0.032576,-999.,-999.,0.040662,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.047795,-999.,-999.,0.058072,-999.,-999.,0.062920,0.066350,0.800043,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.911616,1.061154,0.873263,0.813308,0.528692,-999.,0,26,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26,26,26,0,0,0,0,0,0,0,26,26,26,26,26,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
02:02:2019,12:00:00,33,-999.,0.022793,0.024694,-999.,-999.,0.031781,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.037028,-999.,-999.,0.047649,-999.,-999.,0.050979,0.052929,0.823641,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.923731,1.162454,0.924499,0.770862,0.410048,-999.,0,36,36,0,0,36,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36,36,36,0,0,0,0,0,0,0,36,36,36,36,36,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
03:02:2019,12:00:00,34,-999.,0.016003,0.017252,-999.,-999.,0.021425,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.020542,-999.,-999.,0.025139,-999.,-999.,0.026184,0.023991,0.862964,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.465475,0.891344,0.335666,0.331467,-0.125958,-999.,0,22,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,22,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
06:02:2019,12:00:00,37,-999.,0.020023,0.022314,-999.,-999.,0.027726,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.031616,-999.,-999.,0.038829,-999.,-999.,0.038735,0.037175,0.517867,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.762725,0.726259,0.753424,0.644897,-0.161917,-999.,0,21,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,21,21,0,0,0,0,0,0,0,21,21,21,21,21,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
07:02:2019,12:00:00,38,-999.,0.016237,0.018776,-999.,-999.,0.025813,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.027276,-999.,-999.,0.034796,-999.,-999.,0.030471,0.027234,0.150426,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.807363,0.374476,0.639417,0.684969,-0.349962,-999.,0,48,48,0,0,48,0,0,0,0,0,0,0,0,48,0,0,48,0,0,48,48,48,0,0,0,0,0,0,0,48,48,48,48,23,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
08:02:2019,12:00:00,39,-999.,0.025955,0.029152,-999.,-999.,0.036881,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.040663,-999.,-999.,0.049682,-999.,-999.,0.047086,0.044399,0.194010,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.705979,0.513594,0.637755,0.598620,-0.370673,-999.,0,45,45,0,0,45,0,0,0,0,0,0,0,0,45,0,0,45,0,0,45,45,45,0,0,0,0,0,0,0,45,45,45,45,41,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
11:02:2019,12:00:00,42,-999.,0.030665,0.033983,-999.,-999.,0.042708,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.045945,-999.,-999.,0.054154,-999.,-999.,0.051196,0.049311,0.289221,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.639016,0.373485,0.528024,0.563491,-0.137726,-999.,0,39,40,0,0,40,0,0,0,0,0,0,0,0,40,0,0,40,0,0,40,40,40,0,0,0,0,0,0,0,40,40,40,40,30,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
