date	suomi_pw	aero_pw
2020-01-12	 3.200	   NaN
2020-01-13	 3.100	   NaN
2020-01-14	 3.000	   NaN
2020-01-15	 3.900	   NaN
2020-01-16	 3.600	   NaN
2020-01-17	 5.700	   NaN
2020-01-18	 4.200	   NaN
2020-01-19	 4.100	   NaN
2020-01-20	 5.500	   NaN
2020-01-21	 9.500	   NaN
2020-01-22	 8.100	   NaN
2020-01-23	 6.800	   NaN
2020-01-24	 6.500	   NaN
2020-01-25	 5.700	   NaN
2020-01-26	 6.100	   NaN
2020-01-27	 7.800	   NaN
2020-01-28	 4.000	   NaN
2020-01-29	 3.200	   NaN
2020-01-30	 4.000	   NaN
2020-01-31	 4.800	   NaN
2020-02-01	 5.400	   NaN
2020-02-02	 4.200	   NaN
2020-02-03	 3.300	   NaN
2020-02-04	 4.000	   NaN
2020-02-05	 2.500	   NaN
2020-02-06	 5.200	   NaN
2020-02-07	 7.000	   NaN
2020-02-08	 4.000	   NaN
2020-02-09	 3.500	   NaN
2020-02-10	 8.500	   NaN
2020-02-11	 5.900	   NaN
2020-02-12	 5.600	   NaN
2020-02-13	 2.500	   NaN
2020-02-14	 2.200	   NaN
2020-02-15	 5.400	   NaN
2020-02-16	 6.100	   NaN
2020-02-17	 7.800	   NaN
2020-02-18	 6.700	   NaN
2020-02-19	 5.300	   NaN
2020-02-20	 1.000	   NaN
2020-02-21	 7.700	   NaN
2020-02-22	14.100	   NaN
2020-02-23	 8.200	   NaN
2020-02-24	 6.600	   NaN
2020-02-25	 3.600	   NaN
2020-02-26	 1.900	   NaN
2020-02-27	 3.200	   NaN
2020-02-28	 2.400	   NaN
2020-02-29	 4.000	   NaN
2020-03-01	 6.800	   NaN
2020-03-02	 5.800	   NaN
2020-03-03	 5.800	   NaN
2020-03-04	 5.000	   NaN
2020-03-05	 4.500	   NaN
2020-03-06	 3.000	   NaN
2020-03-07	 5.100	   NaN
2020-03-08	 9.900	   NaN
2020-03-09	 6.100	   NaN
2020-03-10	 8.300	   NaN
2020-03-11	14.400	   NaN
2020-03-12	15.900	   NaN
2020-03-13	10.700	   NaN
2020-03-14	 5.200	   NaN
2020-03-15	 4.400	   NaN
2020-03-16	 3.300	   NaN
2020-03-17	 3.700	   NaN
2020-03-18	 7.100	   NaN
2020-03-19	 5.800	   NaN
2020-03-20	 5.300	   NaN
2020-03-21	 6.000	   NaN
2020-03-22	 3.300	   NaN
2020-03-23	 6.500	   NaN
2020-03-24	 4.900	   NaN
2020-03-25	 6.600	   NaN
2020-03-26	13.000	   NaN
2020-03-27	 9.300	   NaN
2020-03-28	 4.900	   NaN
2020-03-29	 4.400	   NaN
2020-03-30	 3.500	   NaN
2020-03-31	 4.700	   NaN
2020-04-01	 6.800	   NaN
2020-04-02	 4.400	   NaN
2020-04-03	 3.600	   NaN
2020-04-04	 5.100	   NaN
2020-04-05	 4.000	   NaN
2020-04-06	 5.400	   NaN
2020-04-07	 6.800	   NaN
2020-04-08	 8.900	   NaN
2020-04-09	 6.600	   NaN
2020-04-10	 2.600	   NaN
2020-04-11	 4.100	   NaN
2020-04-12	 8.700	   NaN
2020-04-13	 8.100	   NaN
2020-04-14	 4.100	   NaN
2020-04-15	 2.800	   NaN
2020-04-16	 4.300	   NaN
2020-04-17	 3.300	   NaN
2020-04-18	 3.900	   NaN
