daynumber, PWV(Suomi), PWV(Aero), PWV(ABQ), PWV(EPZ), PWV(wt mean)
246,1.15,1.08,1.36,1.60,1.44
247,1.03,0.92,1.26,1.43,1.32
248,1.20,1.35,1.54,1.72,1.60
249,1.47,1.58,1.81,1.79,1.80
250,1.46,1.26,1.54,1.78,1.62
251,1.15,0.94,1.12,1.74,1.33
252,1.19,1.27,1.53,2.45,1.84
253,1.71,NaN,1.72,2.95,2.13
254,1.18,NaN,1.42,2.21,1.68
255,1.14,0.97,1.07,2.28,1.47
256,0.95,0.69,0.88,1.83,1.20
257,0.79,0.79,0.92,1.91,1.25
258,1.00,0.97,1.15,2.90,1.73
259,1.13,1.09,1.26,2.42,1.64
260,1.04,0.97,1.24,1.08,1.19
261,1.03,0.95,1.24,1.68,1.39
262,0.88,0.94,1.16,1.85,1.39
263,0.96,1.05,1.22,1.26,1.24
264,1.03,1.11,1.24,1.42,1.30
265,1.10,1.11,1.35,0.91,1.21
266,1.30,1.22,1.47,1.33,1.42
267,1.56,1.37,1.65,1.71,1.67
268,1.33,1.03,1.28,1.52,1.36
269,1.07,0.88,1.10,1.30,1.17
270,1.07,0.83,0.86,1.30,1.01
271,0.96,0.73,0.97,1.20,1.05
272,0.83,0.71,0.86,1.32,1.01
273,0.73,0.59,0.59,0.88,0.69
274,0.48,0.38,0.60,0.64,0.61
275,0.51,0.75,0.80,0.71,0.77
276,0.63,0.57,0.77,0.88,0.81
277,0.59,0.49,0.54,0.79,0.62
278,0.62,0.73,0.79,0.98,0.85
279,0.53,0.42,0.52,0.88,0.64
280,0.45,0.39,0.64,0.43,0.57
281,0.51,0.44,0.52,0.77,0.61
282,0.54,0.49,0.62,0.73,0.65
283,0.75,0.67,0.77,0.81,0.79
284,0.65,0.50,NaN,NaN,NaN
285,0.73,0.56,0.71,1.19,0.87
286,0.75,0.50,0.46,1.17,0.70
287,0.56,0.40,0.45,0.89,0.60
288,0.60,0.38,0.52,0.70,0.58
289,0.62,0.68,0.77,0.77,0.77
290,0.58,0.65,0.63,1.04,0.77
291,0.67,0.53,0.59,1.09,0.75
292,0.55,NaN,0.62,0.62,0.62
293,0.55,0.50,0.54,0.63,0.57
294,0.49,NaN,0.55,0.60,0.56
295,0.44,0.42,0.53,0.72,0.59
296,0.71,0.76,0.68,1.23,0.86
297,0.86,0.84,0.96,1.36,1.09
298,0.85,NaN,0.97,1.44,1.13
299,0.68,NaN,1.10,1.32,1.17
300,0.72,NaN,1.05,1.62,1.24
301,0.77,NaN,0.83,0.80,0.82
302,0.81,0.77,0.91,0.85,0.89
303,0.90,0.76,0.84,0.88,0.85
304,0.56,0.62,0.80,0.74,0.78
305,0.69,0.68,0.71,0.87,0.76
306,0.67,0.81,0.86,1.10,0.94
307,0.67,0.70,0.92,0.93,0.92
308,0.58,0.63,0.74,0.93,0.80
309,1.05,0.92,0.98,1.50,1.15
310,0.69,0.66,0.75,0.69,0.73
311,0.63,0.57,0.77,0.98,0.84
312,0.92,1.08,1.33,1.44,1.37
313,0.68,0.72,0.88,1.77,1.17
314,0.36,0.55,0.68,1.18,0.84
315,0.34,0.31,0.41,0.70,0.50
316,0.39,0.41,0.41,0.59,0.47
317,0.63,0.49,0.57,0.69,0.61
318,0.64,NaN,0.75,0.93,0.81
319,NaN,0.49,0.59,0.73,0.64
320,NaN,0.47,0.51,0.49,0.51
321,0.40,0.48,0.55,0.57,0.55
322,0.44,0.56,0.72,0.90,0.78
323,0.83,1.05,1.09,1.35,1.18
324,0.93,0.91,1.00,1.29,1.10
325,0.85,0.89,0.91,1.26,1.03
326,1.00,1.11,1.25,1.28,1.26
327,0.93,NaN,1.23,1.54,1.33
328,0.86,NaN,1.50,1.36,1.45
329,0.49,0.53,0.83,0.57,0.74
330,0.44,0.38,0.46,0.58,0.50
331,0.29,0.40,0.47,0.59,0.51
332,0.28,NaN,0.69,0.71,0.70
333,0.52,0.61,0.65,0.57,0.62
334,0.27,0.34,0.38,0.45,0.40
335,0.24,0.32,0.37,0.47,0.40
336,0.38,0.32,0.35,0.37,0.36
337,0.56,0.37,0.52,0.35,0.47
338,0.38,0.36,0.41,0.51,0.44
339,0.38,0.45,0.49,0.41,0.46
340,0.57,0.47,0.53,0.66,0.57
341,0.44,0.29,0.35,0.48,0.39
342,0.34,0.32,0.37,0.40,0.38
343,0.37,0.28,0.32,0.32,0.32
344,0.37,0.27,0.30,0.69,0.43
345,0.95,0.97,0.99,1.55,1.17
346,0.63,NaN,0.67,0.75,0.70
347,0.47,NaN,0.71,0.72,0.71
348,0.26,0.27,0.36,0.37,0.37
349,0.22,0.39,0.47,0.50,0.48
350,0.36,0.35,0.53,0.43,0.50
351,0.33,0.36,0.45,0.41,0.43
352,0.39,0.37,0.51,0.44,0.49
353,0.41,0.49,0.62,0.84,0.69
354,0.44,0.42,0.45,0.51,0.47
355,0.39,0.33,0.47,0.30,0.41
356,0.36,0.49,0.55,0.37,0.49
357,0.35,0.31,0.60,0.42,0.54
358,0.31,0.19,0.31,0.39,0.33
359,0.24,0.19,0.28,0.20,0.25
360,0.35,0.31,0.39,0.81,0.53
361,0.40,0.38,0.44,0.54,0.47
362,0.64,0.58,0.68,0.56,0.64
363,0.46,0.78,0.93,1.02,0.96
364,0.40,0.50,0.68,0.83,0.73
365,0.28,0.32,0.41,0.71,0.51
