*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==1)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
104.,96.154,1.95E-06,2.11E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E-06,2.11E-06,7.44E-05,0.00000
106.,94.340,2.01E-06,2.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-06,2.26E-06,7.85E-05,0.00000
108.,92.593,2.08E-06,2.42E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E-06,2.42E-06,8.26E-05,0.00000
110.,90.909,2.14E-06,2.59E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E-06,2.59E-06,8.69E-05,0.00000
112.,89.286,2.21E-06,2.77E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.21E-06,2.77E-06,9.13E-05,0.00000
114.,87.719,2.28E-06,2.96E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-06,2.96E-06,9.59E-05,0.00000
116.,86.207,2.34E-06,3.15E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.34E-06,3.15E-06,1.01E-04,0.00000
118.,84.746,2.41E-06,3.36E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E-06,3.36E-06,1.05E-04,0.00000
120.,83.333,2.48E-06,3.57E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.48E-06,3.57E-06,1.10E-04,0.00000
122.,81.967,2.55E-06,3.79E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E-06,3.79E-06,1.15E-04,0.00000
124.,80.645,2.62E-06,4.03E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.62E-06,4.03E-06,1.21E-04,0.00000
126.,79.365,2.69E-06,4.27E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.69E-06,4.27E-06,1.26E-04,0.00000
128.,78.125,2.76E-06,4.52E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.76E-06,4.52E-06,1.32E-04,0.00000
130.,76.923,2.83E-06,4.78E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.83E-06,4.78E-06,1.37E-04,0.00000
132.,75.758,2.90E-06,5.06E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E-06,5.06E-06,1.43E-04,0.00000
134.,74.627,2.97E-06,5.34E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.97E-06,5.34E-06,1.49E-04,0.00000
136.,73.529,3.05E-06,5.64E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.05E-06,5.64E-06,1.55E-04,0.00000
138.,72.464,3.12E-06,5.94E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.12E-06,5.94E-06,1.61E-04,0.00000
140.,71.429,3.19E-06,6.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.19E-06,6.26E-06,1.68E-04,0.00000
142.,70.423,3.27E-06,6.59E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.27E-06,6.59E-06,1.74E-04,0.00000
144.,69.444,3.34E-06,6.93E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.34E-06,6.93E-06,1.81E-04,0.00000
146.,68.493,3.41E-06,7.28E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.41E-06,7.28E-06,1.88E-04,0.00000
148.,67.568,3.49E-06,7.64E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.49E-06,7.64E-06,1.95E-04,0.00000
150.,66.667,3.56E-06,8.02E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.56E-06,8.02E-06,2.02E-04,0.00000
152.,65.789,3.64E-06,8.40E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.64E-06,8.40E-06,2.09E-04,0.00000
154.,64.935,3.71E-06,8.81E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.71E-06,8.81E-06,2.17E-04,0.00000
156.,64.103,3.79E-06,9.22E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.79E-06,9.22E-06,2.24E-04,0.00000
158.,63.291,3.86E-06,9.65E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.86E-06,9.65E-06,2.32E-04,0.00000
160.,62.500,3.94E-06,1.01E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.94E-06,1.01E-05,2.40E-04,0.00000
162.,61.728,4.02E-06,1.05E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.02E-06,1.05E-05,2.48E-04,0.00000
164.,60.976,4.09E-06,1.10E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.09E-06,1.10E-05,2.56E-04,0.00000
166.,60.241,4.17E-06,1.15E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.17E-06,1.15E-05,2.64E-04,0.00000
168.,59.524,4.25E-06,1.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.25E-06,1.20E-05,2.73E-04,0.00000
170.,58.824,4.32E-06,1.25E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.32E-06,1.25E-05,2.81E-04,0.00000
172.,58.140,4.40E-06,1.30E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.40E-06,1.30E-05,2.90E-04,0.00000
174.,57.471,4.48E-06,1.36E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.48E-06,1.36E-05,2.99E-04,0.00000
176.,56.818,4.55E-06,1.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.55E-06,1.41E-05,3.08E-04,0.00000
178.,56.180,4.63E-06,1.47E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.63E-06,1.47E-05,3.18E-04,0.00000
180.,55.556,4.71E-06,1.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.71E-06,1.53E-05,3.27E-04,0.00000
182.,54.945,4.79E-06,1.59E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.79E-06,1.59E-05,3.37E-04,0.00000
184.,54.348,4.86E-06,1.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.86E-06,1.65E-05,3.46E-04,0.00000
186.,53.763,4.94E-06,1.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.94E-06,1.71E-05,3.56E-04,0.00000
188.,53.191,5.02E-06,1.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.02E-06,1.77E-05,3.66E-04,0.00000
190.,52.632,5.10E-06,1.84E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.10E-06,1.84E-05,3.76E-04,0.00000
192.,52.083,5.17E-06,1.91E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.17E-06,1.91E-05,3.87E-04,0.00000
194.,51.546,5.25E-06,1.98E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E-06,1.98E-05,3.97E-04,0.00000
196.,51.020,5.33E-06,2.05E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.33E-06,2.05E-05,4.08E-04,0.00000
198.,50.505,5.41E-06,2.12E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.41E-06,2.12E-05,4.19E-04,0.00000
200.,50.000,5.48E-06,2.19E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.48E-06,2.19E-05,4.30E-04,0.00000
202.,49.505,5.56E-06,2.27E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E-06,2.27E-05,4.41E-04,0.00000
204.,49.020,5.64E-06,2.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.64E-06,2.35E-05,4.52E-04,0.00000
206.,48.544,5.72E-06,2.43E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.72E-06,2.43E-05,4.63E-04,0.00000
208.,48.077,5.79E-06,2.51E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.79E-06,2.51E-05,4.75E-04,0.00000
210.,47.619,5.87E-06,2.59E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.87E-06,2.59E-05,4.87E-04,0.00000
212.,47.170,5.95E-06,2.67E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.95E-06,2.67E-05,4.99E-04,0.00000
214.,46.729,6.02E-06,2.76E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.02E-06,2.76E-05,5.11E-04,0.00000
216.,46.296,6.10E-06,2.85E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.10E-06,2.85E-05,5.23E-04,0.00000
218.,45.872,6.18E-06,2.94E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.18E-06,2.94E-05,5.35E-04,0.00000
220.,45.455,6.25E-06,3.03E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.25E-06,3.03E-05,5.48E-04,0.00000
222.,45.045,6.33E-06,3.12E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.33E-06,3.12E-05,5.60E-04,0.00000
224.,44.643,6.41E-06,3.22E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.41E-06,3.22E-05,5.73E-04,0.00000
226.,44.248,6.48E-06,3.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.48E-06,3.31E-05,5.86E-04,0.00000
228.,43.860,6.56E-06,3.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.56E-06,3.41E-05,5.99E-04,0.00000
230.,43.478,6.64E-06,3.51E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.64E-06,3.51E-05,6.13E-04,0.00000
232.,43.103,6.71E-06,3.61E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.71E-06,3.61E-05,6.26E-04,0.00000
234.,42.735,6.79E-06,3.72E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.79E-06,3.72E-05,6.40E-04,0.00000
236.,42.373,6.86E-06,3.82E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.86E-06,3.82E-05,6.53E-04,0.00000
238.,42.017,6.94E-06,3.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-06,3.93E-05,6.67E-04,0.00000
240.,41.667,7.01E-06,4.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.01E-06,4.04E-05,6.81E-04,0.00000
242.,41.322,7.09E-06,4.15E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.09E-06,4.15E-05,6.95E-04,0.00000
244.,40.984,7.16E-06,4.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.16E-06,4.26E-05,7.10E-04,0.00000
246.,40.650,7.23E-06,4.38E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.23E-06,4.38E-05,7.24E-04,0.00000
248.,40.323,7.31E-06,4.49E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.31E-06,4.49E-05,7.39E-04,0.00000
250.,40.000,7.38E-06,4.61E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.38E-06,4.61E-05,7.54E-04,0.00000
252.,39.683,7.45E-06,4.73E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.45E-06,4.73E-05,7.69E-04,0.00000
254.,39.370,7.53E-06,4.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.53E-06,4.86E-05,7.84E-04,0.00000
256.,39.063,7.60E-06,4.98E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.60E-06,4.98E-05,7.99E-04,0.00000
258.,38.760,7.67E-06,5.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.67E-06,5.11E-05,8.14E-04,0.00000
260.,38.462,7.75E-06,5.24E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-06,5.24E-05,8.30E-04,0.00000
262.,38.168,7.82E-06,5.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.82E-06,5.37E-05,8.45E-04,0.00000
264.,37.879,7.89E-06,5.50E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.89E-06,5.50E-05,8.61E-04,0.00000
266.,37.594,7.96E-06,5.63E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.96E-06,5.63E-05,8.77E-04,0.00000
268.,37.313,8.03E-06,5.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.03E-06,5.77E-05,8.93E-04,0.00000
270.,37.037,8.10E-06,5.91E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.10E-06,5.91E-05,9.09E-04,0.00000
272.,36.765,8.17E-06,6.05E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.17E-06,6.05E-05,9.26E-04,0.00000
274.,36.496,8.24E-06,6.19E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.24E-06,6.19E-05,9.42E-04,0.00000
276.,36.232,8.31E-06,6.33E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.31E-06,6.33E-05,9.59E-04,0.00000
278.,35.971,8.38E-06,6.47E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.38E-06,6.47E-05,9.75E-04,0.00000
280.,35.714,8.45E-06,6.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.45E-06,6.62E-05,9.92E-04,0.00000
282.,35.461,8.51E-06,6.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.51E-06,6.77E-05,1.01E-03,0.00000
284.,35.211,8.58E-06,6.92E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.58E-06,6.92E-05,1.03E-03,0.00000
286.,34.965,8.65E-06,7.08E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.65E-06,7.08E-05,1.04E-03,0.00000
288.,34.722,8.72E-06,7.23E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.72E-06,7.23E-05,1.06E-03,0.00000
290.,34.483,8.79E-06,7.39E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.79E-06,7.39E-05,1.08E-03,0.00000
292.,34.247,8.85E-06,7.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.85E-06,7.55E-05,1.10E-03,0.00000
294.,34.014,8.92E-06,7.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.92E-06,7.71E-05,1.11E-03,0.00000
296.,33.784,8.98E-06,7.87E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.98E-06,7.87E-05,1.13E-03,0.00000
298.,33.557,9.05E-06,8.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.05E-06,8.04E-05,1.15E-03,0.00000
300.,33.333,9.11E-06,8.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.11E-06,8.20E-05,1.17E-03,0.00000
302.,33.113,9.18E-06,8.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.18E-06,8.37E-05,1.19E-03,0.00000
304.,32.895,9.24E-06,8.54E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.24E-06,8.54E-05,1.21E-03,0.00000
306.,32.680,9.30E-06,8.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.30E-06,8.71E-05,1.22E-03,0.00000
308.,32.468,9.36E-06,8.88E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.36E-06,8.88E-05,1.24E-03,0.00000
310.,32.258,9.43E-06,9.06E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.43E-06,9.06E-05,1.26E-03,0.00000
312.,32.051,9.49E-06,9.24E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.49E-06,9.24E-05,1.28E-03,0.00000
314.,31.847,9.55E-06,9.42E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.55E-06,9.42E-05,1.30E-03,0.00000
316.,31.646,9.61E-06,9.60E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.61E-06,9.60E-05,1.32E-03,0.00000
318.,31.447,9.67E-06,9.78E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.67E-06,9.78E-05,1.34E-03,0.00000
320.,31.250,9.73E-06,9.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.73E-06,9.97E-05,1.36E-03,0.00000
322.,31.056,9.79E-06,1.02E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-06,1.02E-04,1.38E-03,0.00000
324.,30.864,9.85E-06,1.03E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.85E-06,1.03E-04,1.40E-03,0.00000
